dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0
03/09/20,0,0,0,0,0,0,0
03/10/20,0,0,0,0,0,0,0
03/11/20,0,0,0,0,0,0,0
03/12/20,0,0,0,0,0,0,0
03/13/20,0,0,0,0,0,0,0
03/14/20,0,0,0,0,0,0,0
03/15/20,0,0,0,0,0,0,0
03/16/20,0,0,0,0,0,0,0
03/17/20,2,0,0,2,0,0,0
03/18/20,2,0,0,0,0,0,0
03/19/20,3,0,0,1,0,0,0
03/20/20,14,0,0,11,0,0,0
03/21/20,14,0,0,0,0,0,0
03/22/20,21,0,0,7,0,0,0
03/23/20,27,1,0,6,1,0,1
03/24/20,47,1,0,20,0,0,0
03/25/20,52,1,0,5,0,0,0
03/26/20,69,1,0,17,0,0,0
03/27/20,82,1,0,13,0,0,0
03/28/20,84,1,0,2,0,0,0
03/29/20,85,1,0,1,0,0,0
03/30/20,91,1,0,6,0,0,0
03/31/20,109,2,0,18,1,0,1
04/01/20,123,2,0,14,0,0,0
04/02/20,144,2,0,21,0,0,0
04/03/20,174,2,1,30,0,1,1
04/04/20,201,2,1,27,0,0,0
04/05/20,214,2,1,13,0,0,0
04/06/20,233,2,1,19,0,0,0
04/07/20,241,2,4,8,0,3,3
04/08/20,248,2,4,7,0,0,0
04/09/20,252,2,4,4,0,0,0
04/10/20,255,2,4,3,0,0,0
04/11/20,263,2,5,8,0,1,1
04/12/20,272,3,5,9,1,0,1
04/13/20,274,3,5,2,0,0,0
04/14/20,283,4,46,9,1,41,42
04/15/20,288,4,55,5,0,9,9
04/16/20,303,4,55,15,0,0,0
04/17/20,303,5,55,0,1,0,1
04/18/20,307,5,55,4,0,0,0
04/19/20,308,5,55,1,0,0,0
04/20/20,312,5,88,4,0,33,33
04/21/20,313,5,101,1,0,13,13
04/22/20,315,5,116,2,0,15,15
04/23/20,316,5,123,1,0,7,7
04/24/20,319,6,123,3,1,0,1
04/25/20,320,6,153,1,0,30,30
04/26/20,321,7,153,1,1,0,1
04/27/20,321,7,189,0,0,36,36
