,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,1,0,0,1,0,0,0
41,03/03/20,1,0,0,0,0,0,0
42,03/04/20,1,0,0,0,0,0,0
43,03/05/20,2,0,0,1,0,0,0
44,03/06/20,2,0,0,0,0,0,0
45,03/07/20,2,0,0,0,0,0,0
46,03/08/20,2,0,0,0,0,0,0
47,03/09/20,2,0,0,0,0,0,0
48,03/10/20,3,1,0,1,1,0,1
49,03/11/20,5,1,0,2,0,0,0
50,03/12/20,6,1,0,1,0,0,0
51,03/13/20,7,1,1,1,0,1,1
52,03/14/20,17,1,1,10,0,0,0
53,03/15/20,28,1,1,11,0,0,0
54,03/16/20,29,1,1,1,0,0,0
55,03/17/20,38,2,1,9,1,0,1
56,03/18/20,49,2,1,11,0,0,0
57,03/19/20,63,2,1,14,0,0,0
58,03/20/20,77,3,1,14,1,0,1
59,03/21/20,96,3,3,19,0,2,2
60,03/22/20,115,4,3,19,1,0,1
61,03/23/20,143,4,3,28,0,0,0
62,03/24/20,170,5,6,27,1,3,4
63,03/25/20,225,6,7,55,1,1,2
64,03/26/20,275,11,8,50,5,1,6
65,03/27/20,345,23,11,70,12,3,15
66,03/28/20,402,25,11,57,2,0,2
67,03/29/20,479,26,13,77,1,2,3
68,03/30/20,556,33,15,77,7,2,9
69,03/31/20,617,36,24,61,3,9,12
70,04/01/20,654,39,29,37,3,5,8
71,04/02/20,708,44,31,54,5,2,7
72,04/03/20,791,48,57,83,4,26,30
73,04/04/20,919,59,66,128,11,9,20
74,04/05/20,1021,70,76,102,11,10,21
75,04/06/20,1120,80,81,99,10,5,15
76,04/07/20,1184,90,93,64,10,12,22
77,04/08/20,1275,93,97,91,3,4,7
78,04/09/20,1374,97,109,99,4,12,16
79,04/10/20,1448,107,122,74,10,13,23
80,04/11/20,1545,111,146,97,4,24,28
81,04/12/20,1661,118,177,116,7,31,38
82,04/13/20,1763,126,203,102,8,26,34
83,04/14/20,1888,126,217,125,0,14,14
84,04/15/20,2024,127,229,136,1,12,13
85,04/16/20,2283,130,249,259,3,20,23
86,04/17/20,2564,135,281,281,5,32,37
87,04/18/20,2685,137,314,121,2,33,35
88,04/19/20,2855,141,327,170,4,13,17
89,04/20/20,3046,143,350,191,2,23,25
90,04/21/20,3209,145,393,163,2,43,45
91,04/22/20,3446,149,417,237,4,24,28
92,04/23/20,3568,155,456,122,6,39,45
93,04/24/20,3758,158,486,190,3,30,33
94,04/25/20,3897,159,537,139,1,51,52
95,04/26/20,4065,161,593,168,2,56,58
