dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,1,0,0,1,0,0,0
02/27/20,1,0,0,0,0,0,0
02/28/20,1,0,0,0,0,0,0
02/29/20,1,0,0,0,0,0,0
03/01/20,1,0,0,0,0,0,0
03/02/20,1,0,0,0,0,0,0
03/03/20,1,0,0,0,0,0,0
03/04/20,1,0,0,0,0,0,0
03/05/20,1,0,0,0,0,0,0
03/06/20,3,0,0,2,0,0,0
03/07/20,3,0,0,0,0,0,0
03/08/20,3,0,0,0,0,0,0
03/09/20,3,0,0,0,0,0,0
03/10/20,7,0,0,4,0,0,0
03/11/20,7,0,0,0,0,0,0
03/12/20,7,0,0,0,0,0,0
03/13/20,14,0,1,7,0,1,1
03/14/20,14,0,1,0,0,0,0
03/15/20,14,0,1,0,0,0,0
03/16/20,18,0,1,4,0,0,0
03/17/20,26,0,1,8,0,0,0
03/18/20,35,0,1,9,0,0,0
03/19/20,48,0,1,13,0,0,0
03/20/20,67,0,1,19,0,0,0
03/21/20,85,0,1,18,0,0,0
03/22/20,115,1,1,30,1,0,1
03/23/20,136,2,1,21,1,0,1
03/24/20,148,2,1,12,0,0,0
03/25/20,177,3,1,29,1,0,1
03/26/20,201,3,3,24,0,2,2
03/27/20,219,3,3,18,0,0,0
03/28/20,241,4,3,22,1,0,1
03/29/20,259,6,3,18,2,0,2
03/30/20,285,7,12,26,1,9,10
03/31/20,329,9,12,44,2,0,2
04/01/20,354,11,17,25,2,5,7
04/02/20,384,11,17,30,0,0,0
04/03/20,430,12,20,46,1,3,4
04/04/20,483,17,20,53,5,0,5
04/05/20,555,18,23,72,1,3,4
04/06/20,570,23,30,15,5,7,12
04/07/20,599,26,30,29,3,0,3
04/08/20,617,29,35,18,3,5,8
04/09/20,663,30,37,46,1,2,3
04/10/20,711,32,41,48,2,4,6
04/11/20,760,34,41,49,2,0,2
04/12/20,828,34,41,68,0,0,0
04/13/20,854,38,44,26,4,3,7
04/14/20,908,44,86,54,6,42,48
04/15/20,974,45,98,66,1,12,13
04/16/20,1081,46,121,107,1,23,24
04/17/20,1117,49,139,36,3,18,21
04/18/20,1170,49,164,53,0,25,25
04/19/20,1207,51,179,37,2,15,17
04/20/20,1225,54,200,18,3,21,24
04/21/20,1231,55,224,6,1,24,25
04/22/20,1259,56,272,28,1,48,49
04/23/20,1300,56,301,41,0,29,29
04/24/20,1326,57,337,26,1,36,37
04/25/20,1367,59,374,41,2,37,39
04/26/20,1386,61,500,19,2,126,128
04/27/20,1399,65,553,13,4,53,57
