,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0.0,0,0,0,0,0
1,01/23/20,0,0.0,0,0,0,0,0
2,01/24/20,0,0.0,0,0,0,0,0
3,01/25/20,0,0.0,0,0,0,0,0
4,01/26/20,0,0.0,0,0,0,0,0
5,01/27/20,0,0.0,0,0,0,0,0
6,01/28/20,0,0.0,0,0,0,0,0
7,01/29/20,0,0.0,0,0,0,0,0
8,01/30/20,1,0.0,0,1,0,0,0
9,01/31/20,1,0.0,0,0,0,0,0
10,02/01/20,1,0.0,0,0,0,0,0
11,02/02/20,2,1.0,0,1,1,0,1
12,02/03/20,2,1.0,0,0,0,0,0
13,02/04/20,2,1.0,0,0,0,0,0
14,02/05/20,2,1.0,0,0,0,0,0
15,02/06/20,2,1.0,0,0,0,0,0
16,02/07/20,3,1.0,0,1,0,0,0
17,02/08/20,3,1.0,0,0,0,0,0
18,02/09/20,3,1.0,0,0,0,0,0
19,02/10/20,3,1.0,0,0,0,0,0
20,02/11/20,3,1.0,0,0,0,0,0
21,02/12/20,3,1.0,1,0,0,1,1
22,02/13/20,3,1.0,1,0,0,0,0
23,02/14/20,3,1.0,1,0,0,0,0
24,02/15/20,3,1.0,1,0,0,0,0
25,02/16/20,3,1.0,1,0,0,0,0
26,02/17/20,3,1.0,1,0,0,0,0
27,02/18/20,3,1.0,1,0,0,0,0
28,02/19/20,3,1.0,1,0,0,0,0
29,02/20/20,3,1.0,1,0,0,0,0
30,02/21/20,3,1.0,1,0,0,0,0
31,02/22/20,3,1.0,1,0,0,0,0
32,02/23/20,3,1.0,1,0,0,0,0
33,02/24/20,3,1.0,1,0,0,0,0
34,02/25/20,3,1.0,1,0,0,0,0
35,02/26/20,3,1.0,1,0,0,0,0
36,02/27/20,3,1.0,1,0,0,0,0
37,02/28/20,3,1.0,1,0,0,0,0
38,02/29/20,3,1.0,1,0,0,0,0
39,03/01/20,3,1.0,1,0,0,0,0
40,03/02/20,3,1.0,1,0,0,0,0
41,03/03/20,3,1.0,1,0,0,0,0
42,03/04/20,3,1.0,1,0,0,0,0
43,03/05/20,3,1.0,1,0,0,0,0
44,03/06/20,5,1.0,1,2,0,0,0
45,03/07/20,6,1.0,1,1,0,0,0
46,03/08/20,10,1.0,1,4,0,0,0
47,03/09/20,20,1.0,1,10,0,0,0
48,03/10/20,33,1.0,2,13,0,1,1
49,03/11/20,49,1.0,2,16,0,0,0
50,03/12/20,52,2.0,2,3,1,0,1
51,03/13/20,64,5.0,2,12,3,0,3
52,03/14/20,111,8.0,2,47,3,0,3
53,03/15/20,140,11.0,2,29,3,0,3
54,03/16/20,142,12.0,2,2,1,0,1
55,03/17/20,187,12.0,5,45,0,3,3
56,03/18/20,202,19.0,5,15,7,0,7
57,03/19/20,217,,8,15,0,3,1
58,03/20/20,230,19.0,8,13,0,0,1
59,03/21/20,307,19.0,13,77,0,5,6
60,03/22/20,380,25.0,17,73,6,4,10
61,03/23/20,462,33.0,17,82,8,0,8
62,03/24/20,552,35.0,20,90,2,3,5
63,03/25/20,636,38.0,26,84,3,6,9
64,03/26/20,707,45.0,28,71,7,2,9
65,03/27/20,803,54.0,31,96,9,3,12
66,03/28/20,1075,68.0,35,272,14,4,18
67,03/29/20,1418,71.0,42,343,3,7,10
68,03/30/20,1546,78.0,42,128,7,0,7
69,03/31/20,2084,88.0,49,538,10,7,17
70,04/01/20,2311,96.0,50,227,8,1,9
71,04/02/20,2633,107.0,51,322,11,1,12
72,04/03/20,3018,136.0,52,385,29,1,30
73,04/04/20,3094,144.0,57,76,8,5,13
74,04/05/20,3246,152.0,64,152,8,7,15
75,04/06/20,3660,163.0,73,414,11,9,20
76,04/07/20,3764,177.0,84,104,14,11,25
77,04/08/20,3870,182.0,96,106,5,12,17
78,04/09/20,4076,203.0,124,206,21,28,49
79,04/10/20,4195,221.0,140,119,18,16,34
80,04/11/20,4428,247.0,157,233,26,17,43
81,04/12/20,4648,297.0,197,220,50,40,90
82,04/13/20,4932,315.0,242,284,18,45,63
83,04/14/20,5223,335.0,295,291,20,53,73
84,04/15/20,5453,349.0,353,230,14,58,72
85,04/16/20,5660,362.0,435,207,13,82,95
86,04/17/20,5878,387.0,487,218,25,52,77
87,04/18/20,6087,397.0,516,209,10,29,39
88,04/19/20,6259,409.0,572,172,12,56,68
89,04/20/20,6459,428.0,613,200,19,41,60
90,04/21/20,6599,437.0,654,140,9,41,50
91,04/22/20,6710,446.0,693,111,9,39,48
92,04/23/20,6981,462.0,722,271,16,29,45
93,04/24/20,7192,477.0,762,211,15,40,55
94,04/25/20,7294,494.0,792,102,17,30,47
95,04/26/20,7579,501.0,862,285,7,70,77
