dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,1,0,0,1,0,0,0
03/07/20,1,0,0,0,0,0,0
03/08/20,1,0,0,0,0,0,0
03/09/20,1,0,0,0,0,0,0
03/10/20,5,0,0,4,0,0,0
03/11/20,12,0,0,7,0,0,0
03/12/20,19,0,0,7,0,0,0
03/13/20,35,0,0,16,0,0,0
03/14/20,46,0,0,11,0,0,0
03/15/20,48,0,0,2,0,0,0
03/16/20,55,0,1,7,0,1,1
03/17/20,65,0,1,10,0,0,0
03/18/20,83,0,1,18,0,0,0
03/19/20,103,0,1,20,0,0,0
03/20/20,135,1,1,32,1,0,1
03/21/20,171,1,1,36,0,0,0
03/22/20,222,2,1,51,1,0,1
03/23/20,249,3,1,27,1,0,1
03/24/20,303,3,15,54,0,14,14
03/25/20,384,4,15,81,1,0,1
03/26/20,384,1,0,0,-3,-15,-18
03/27/20,457,1,0,73,0,0,0
03/28/20,659,10,0,202,9,0,9
03/29/20,741,13,0,82,3,0,3
03/30/20,785,16,0,44,3,0,3
03/31/20,900,16,0,115,0,0,0
04/01/20,1060,28,0,160,12,0,12
04/02/20,1171,31,0,111,3,0,3
04/03/20,1476,39,0,305,8,0,8
04/04/20,1624,44,0,148,5,0,5
04/05/20,1908,51,0,284,7,0,7
04/06/20,2200,58,0,292,7,0,7
04/07/20,2447,61,0,247,3,0,3
04/08/20,2666,65,0,219,4,0,4
04/09/20,2867,66,0,201,1,0,1
04/10/20,3105,71,0,238,5,0,5
04/11/20,3380,74,0,275,3,0,3
04/12/20,3630,80,0,250,6,0,6
04/13/20,4054,85,0,424,5,0,5
04/14/20,4465,94,0,411,9,0,9
04/15/20,4873,99,0,408,5,0,5
04/16/20,5318,103,0,445,4,0,4
04/17/20,5690,110,534,372,7,534,541
04/18/20,5994,117,637,304,7,103,110
04/19/20,6318,122,753,324,5,116,121
04/20/20,6630,125,870,312,3,117,120
04/21/20,6630,125,870,0,0,0,0
04/22/20,6630,125,870,0,0,0,0
04/23/20,6630,125,870,0,0,0,0
04/24/20,6630,125,870,0,0,0,0
04/25/20,6630,125,870,0,0,0,0
04/26/20,6630,125,870,0,0,0,0
04/27/20,6630,125,870,0,0,0,0
