dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,1,0,0,1,0,0,0
03/06/20,1,0,0,0,0,0,0
03/07/20,1,0,0,0,0,0,0
03/08/20,3,0,0,2,0,0,0
03/09/20,3,0,0,0,0,0,0
03/10/20,7,0,0,4,0,0,0
03/11/20,13,0,0,6,0,0,0
03/12/20,17,0,0,4,0,0,0
03/13/20,24,0,0,7,0,0,0
03/14/20,38,0,0,14,0,0,0
03/15/20,51,0,0,13,0,0,0
03/16/20,62,0,0,11,0,0,0
03/17/20,62,0,0,0,0,0,0
03/18/20,116,0,0,54,0,0,0
03/19/20,150,0,0,34,0,0,0
03/20/20,202,0,0,52,0,0,0
03/21/20,240,0,0,38,0,0,0
03/22/20,274,0,0,34,0,0,0
03/23/20,402,0,0,128,0,0,0
03/24/20,554,0,4,152,0,4,4
03/25/20,709,0,12,155,0,8,8
03/26/20,927,0,12,218,0,0,0
03/27/20,1170,1,31,243,1,19,20
03/28/20,1187,1,31,17,0,0,0
03/29/20,1280,2,31,93,1,0,1
03/30/20,1326,3,31,46,1,0,1
03/31/20,1353,5,31,27,2,0,2
04/01/20,1380,5,50,27,0,19,19
04/02/20,1462,5,50,82,0,0,0
04/03/20,1505,9,95,43,4,45,49
04/04/20,1585,9,95,80,0,0,0
04/05/20,1655,11,95,70,2,0,2
04/06/20,1686,12,95,31,1,0,1
04/07/20,1749,13,95,63,1,0,1
04/08/20,1845,18,95,96,5,0,5
04/09/20,1934,18,95,89,0,0,0
04/10/20,2003,24,410,69,6,315,321
04/11/20,2028,25,410,25,1,0,1
04/12/20,2173,25,410,145,0,0,0
04/13/20,2272,27,410,99,2,0,2
04/14/20,2415,27,410,143,0,0,0
04/15/20,2506,34,410,91,7,0,7
04/16/20,2605,48,903,99,14,493,507
04/17/20,2783,50,903,178,2,0,2
04/18/20,3034,52,903,251,2,0,2
04/19/20,3158,54,903,124,2,0,2
04/20/20,3300,58,1055,142,4,152,156
04/21/20,3465,58,1055,165,0,0,0
04/22/20,3635,65,1055,170,7,0,7
04/23/20,3953,75,1473,318,10,418,428
04/24/20,4220,79,1473,267,4,0,4
04/25/20,4361,86,1473,141,7,0,7
04/26/20,4546,87,1473,185,1,0,1
04/27/20,4793,90,1473,247,3,0,3
