dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,1,0,0,1,0,0,0
02/02/20,1,0,0,0,0,0,0
02/03/20,1,0,0,0,0,0,0
02/04/20,1,0,0,0,0,0,0
02/05/20,1,0,0,0,0,0,0
02/06/20,1,0,0,0,0,0,0
02/07/20,1,0,0,0,0,0,0
02/08/20,1,0,0,0,0,0,0
02/09/20,2,0,0,1,0,0,0
02/10/20,2,0,0,0,0,0,0
02/11/20,2,0,0,0,0,0,0
02/12/20,2,0,0,0,0,0,0
02/13/20,2,0,0,0,0,0,0
02/14/20,2,0,0,0,0,0,0
02/15/20,2,0,2,0,0,2,2
02/16/20,2,0,2,0,0,0,0
02/17/20,2,0,2,0,0,0,0
02/18/20,2,0,2,0,0,0,0
02/19/20,2,0,2,0,0,0,0
02/20/20,2,0,2,0,0,0,0
02/21/20,2,0,2,0,0,0,0
02/22/20,2,0,2,0,0,0,0
02/23/20,2,0,2,0,0,0,0
02/24/20,2,0,2,0,0,0,0
02/25/20,6,0,2,4,0,0,0
02/26/20,13,0,2,7,0,0,0
02/27/20,15,0,2,2,0,0,0
02/28/20,32,0,2,17,0,0,0
02/29/20,45,0,2,13,0,0,0
03/01/20,84,0,2,39,0,0,0
03/02/20,120,0,2,36,0,0,0
03/03/20,165,1,2,45,1,0,1
03/04/20,222,2,2,57,1,0,1
03/05/20,259,3,2,37,1,0,1
03/06/20,400,5,2,141,2,0,2
03/07/20,500,10,30,100,5,28,33
03/08/20,673,17,30,173,7,0,7
03/09/20,1073,28,32,400,11,2,13
03/10/20,1695,35,32,622,7,0,7
03/11/20,2277,54,183,582,19,151,170
03/12/20,2277,55,183,0,1,0,1
03/13/20,5232,133,193,2955,78,10,88
03/14/20,6391,195,517,1159,62,324,386
03/15/20,7798,289,517,1407,94,0,94
03/16/20,9942,342,530,2144,53,13,66
03/17/20,11748,533,1028,1806,191,498,689
03/18/20,13910,623,1081,2162,90,53,143
03/19/20,17963,830,1107,4053,207,26,233
03/20/20,20410,1043,1588,2447,213,481,694
03/21/20,25374,1375,2125,4964,332,537,869
03/22/20,28768,1772,2575,3394,397,450,847
03/23/20,35136,2311,2575,6368,539,0,539
03/24/20,39885,2808,3794,4749,497,1219,1716
03/25/20,49515,3647,5367,9630,839,1573,2412
03/26/20,57786,4365,7015,8271,718,1648,2366
03/27/20,65719,5138,9357,7933,773,2342,3115
03/28/20,73235,5982,12285,7516,844,2928,3772
03/29/20,80110,6803,14709,6875,821,2424,3245
03/30/20,87956,7716,16780,7846,913,2071,2984
03/31/20,95923,8464,19259,7967,748,2479,3227
04/01/20,104118,9387,22647,8195,923,3388,4311
04/02/20,112065,10348,26743,7947,961,4096,5057
04/03/20,119199,11198,30513,7134,850,3770,4620
04/04/20,126168,11947,34219,6969,749,3706,4455
04/05/20,131646,12641,38080,5478,694,3861,4555
04/06/20,136675,13341,40437,5029,700,2357,3057
04/07/20,141942,14045,43208,5267,704,2771,3475
04/08/20,148220,14792,48021,6278,747,4813,5560
04/09/20,153222,15447,52165,5002,655,4144,4799
04/10/20,158273,16081,55668,5051,634,3503,4137
04/11/20,163027,16606,59109,4754,525,3441,3966
04/12/20,166831,17209,62391,3804,603,3282,3885
04/13/20,170099,17756,64727,3268,547,2336,2883
04/14/20,172541,18056,67504,2442,300,2777,3077
04/15/20,177644,18708,70853,5103,652,3349,4001
04/16/20,184948,19315,74797,7304,607,3944,4551
04/17/20,190839,20002,74797,5891,687,0,687
04/18/20,191726,20043,74797,887,41,0,41
04/19/20,198674,20453,77357,6948,410,2560,2970
04/20/20,200210,20852,80587,1536,399,3230,3629
04/21/20,204178,21282,82514,3968,430,1927,2357
04/22/20,208389,21717,85915,4211,435,3401,3836
04/23/20,213024,22157,89250,4635,440,3335,3775
04/24/20,219764,22524,92355,6740,367,3105,3472
04/25/20,223759,22902,95708,3995,378,3353,3731
04/26/20,226629,23190,117727,2870,288,22019,22307
04/27/20,229422,23521,120832,2793,331,3105,3436
