dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0
03/09/20,0,0,0,0,0,0,0
03/10/20,0,0,0,0,0,0,0
03/11/20,0,0,0,0,0,0,0
03/12/20,0,0,0,0,0,0,0
03/13/20,1,1,0,1,1,0,1
03/14/20,1,1,0,0,0,0,0
03/15/20,1,1,0,0,0,0,0
03/16/20,1,1,0,0,0,0,0
03/17/20,1,1,0,0,0,0,0
03/18/20,2,1,0,1,0,0,0
03/19/20,2,1,0,0,0,0,0
03/20/20,2,1,0,0,0,0,0
03/21/20,2,1,0,0,0,0,0
03/22/20,2,1,0,0,0,0,0
03/23/20,2,1,0,0,0,0,0
03/24/20,3,1,0,1,0,0,0
03/25/20,3,1,0,0,0,0,0
03/26/20,3,1,0,0,0,0,0
03/27/20,3,1,0,0,0,0,0
03/28/20,5,1,0,2,0,0,0
03/29/20,6,1,0,1,0,0,0
03/30/20,6,2,0,0,1,0,1
03/31/20,7,2,1,1,0,1,1
04/01/20,7,2,2,0,0,1,1
04/02/20,8,2,2,1,0,0,0
04/03/20,10,2,2,2,0,0,0
04/04/20,10,2,2,0,0,0,0
04/05/20,12,2,2,2,0,0,0
04/06/20,12,2,2,0,0,0,0
04/07/20,14,2,2,2,0,0,0
04/08/20,14,2,2,0,0,0,0
04/09/20,15,2,2,1,0,0,0
04/10/20,17,2,2,2,0,0,0
04/11/20,19,2,2,2,0,0,0
04/12/20,19,2,2,0,0,0,0
04/13/20,29,4,4,10,2,2,4
04/14/20,32,5,4,3,1,0,1
04/15/20,32,5,4,0,0,0,0
04/16/20,32,5,4,0,0,0,0
04/17/20,33,6,4,1,1,0,1
04/18/20,66,10,6,33,4,2,6
04/19/20,66,10,6,0,0,0,0
04/20/20,107,12,8,41,2,2,4
04/21/20,107,12,8,0,0,0,0
04/22/20,140,13,12,33,1,4,5
04/23/20,174,16,14,34,3,2,5
04/24/20,174,16,14,0,0,0,0
04/25/20,213,17,19,39,1,5,6
04/26/20,237,21,20,24,4,1,5
04/27/20,275,22,21,38,1,1,2
