,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/06/20,0,0,0.0,0,0,0,0
1,03/07/20,0,0,0.0,0,0,0,0
2,03/08/20,0,0,0.0,0,0,0,0
3,03/09/20,3,0,0.0,3,0,0,0
4,03/10/20,8,0,0.0,5,0,0,0
5,03/11/20,13,0,0.0,5,0,0,0
6,03/12/20,14,0,0.0,1,0,0,0
7,03/13/20,16,0,0.0,2,0,0,0
8,03/14/20,17,0,0.0,1,0,0,0
9,03/15/20,18,0,0.0,1,0,0,0
10,03/16/20,22,0,0.0,4,0,0,0
11,03/17/20,23,0,0.0,1,0,0,0
12,03/18/20,29,0,0.0,6,0,0,0
13,03/19/20,38,0,0.0,9,0,0,0
14,03/20/20,45,0,0.0,7,0,0,0
15,03/21/20,68,0,0.0,23,0,0,0
16,03/22/20,90,0,0.0,22,0,0,0
17,03/23/20,105,0,0.0,15,0,0,0
18,03/24/20,124,0,0.0,19,0,0,0
19,03/25/20,145,1,0.0,21,1,0,1
20,03/26/20,179,1,15.0,34,0,15,15
21,03/27/20,235,3,18.0,56,2,3,5
22,03/28/20,298,3,,63,0,0,-3
23,03/29/20,336,4,18.0,38,1,0,3
24,03/30/20,424,6,23.0,88,2,5,8
25,03/31/20,497,7,33.0,73,1,10,11
26,04/01/20,549,9,118.0,52,2,85,87
27,04/02/20,614,11,,65,2,0,-70
28,04/03/20,699,11,188.0,85,0,0,142
29,04/04/20,786,14,188.0,87,3,0,3
30,04/05/20,868,22,188.0,82,8,0,8
31,04/06/20,946,25,284.0,78,3,96,99
32,04/07/20,1048,26,341.0,102,1,57,58
33,04/08/20,1145,27,431.0,97,1,90,91
34,04/09/20,1270,29,476.0,125,2,45,47
35,04/10/20,1388,31,506.0,118,2,30,32
36,04/11/20,1510,34,585.0,122,3,79,82
37,04/12/20,1587,41,674.0,77,7,89,96
38,04/13/20,1710,43,741.0,123,2,67,69
39,04/14/20,1899,49,741.0,189,6,0,6
40,04/15/20,1995,53,908.0,96,4,167,171
41,04/16/20,2141,60,987.0,146,7,79,86
42,04/17/20,2332,64,1007.0,191,4,20,24
43,04/18/20,2513,74,1095.0,181,10,88,98
44,04/19/20,2902,75,1171.0,389,1,76,77
45,04/20/20,3159,79,1235.0,257,4,64,68
46,04/21/20,3641,83,1293.0,482,4,58,62
47,04/22/20,3748,90,1428.0,107,7,135,142
48,04/23/20,3924,96,1492.0,176,6,64,70
49,04/24/20,4445,107,1604.0,521,11,112,123
50,04/25/20,5092,112,1723.0,647,5,119,124
51,04/26/20,5476,118,1900.0,384,6,177,183
