,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/07/20,0,0,0,0,0,0,0
1,03/08/20,0,0,0,0,0,0,0
2,03/09/20,1,0,0,1,0,0,0
3,03/10/20,1,0,0,0,0,0,0
4,03/11/20,6,0,0,5,0,0,0
5,03/12/20,14,0,0,8,0,0,0
6,03/13/20,36,0,0,22,0,0,0
7,03/14/20,69,0,0,33,0,0,0
8,03/15/20,91,2,0,22,2,0,2
9,03/16/20,114,2,0,23,0,0,0
10,03/17/20,171,4,0,57,2,0,2
11,03/18/20,240,6,0,69,2,0,2
12,03/19/20,347,8,0,107,2,0,2
13,03/20/20,479,12,0,132,4,0,4
14,03/21/20,585,16,0,106,4,0,4
15,03/22/20,837,20,0,252,4,0,4
16,03/23/20,1172,34,0,335,14,0,14
17,03/24/20,1388,46,0,216,12,0,12
18,03/25/20,1795,65,0,407,19,0,19
19,03/26/20,2305,83,0,510,18,0,18
20,03/27/20,2746,119,0,441,36,0,36
21,03/28/20,3315,137,0,569,18,0,18
22,03/29/20,3540,151,0,225,14,0,14
23,03/30/20,4025,185,0,485,34,0,34
24,03/31/20,5237,239,0,1212,54,0,54
25,04/01/20,6424,273,0,1187,34,0,34
26,04/02/20,9150,310,0,2726,37,0,37
27,04/03/20,10297,370,0,1147,60,0,60
28,04/04/20,12496,409,0,2199,39,0,39
29,04/05/20,13010,477,0,514,68,0,68
30,04/06/20,14867,512,0,1857,35,0,35
31,04/07/20,16284,582,0,1417,70,0,70
32,04/08/20,17030,652,0,746,70,0,70
33,04/09/20,18283,702,0,1253,50,0,50
34,04/10/20,19253,755,0,970,53,0,53
35,04/11/20,20014,806,0,761,51,0,51
36,04/12/20,20595,840,0,581,34,0,34
37,04/13/20,21016,884,0,421,44,0,44
38,04/14/20,21518,1013,0,502,129,0,129
39,04/15/20,21951,1103,0,433,90,0,90
40,04/16/20,22532,1156,0,581,53,0,53
41,04/17/20,23118,1213,0,586,57,0,57
42,04/18/20,23580,1267,0,462,54,0,54
43,04/19/20,23928,1296,0,348,29,0,29
44,04/20/20,24523,1328,0,595,32,0,32
45,04/21/20,24854,1405,0,331,77,0,77
46,04/22/20,25258,1473,0,404,68,0,68
47,04/23/20,25739,1540,0,481,67,0,67
48,04/24/20,26140,1601,14927,401,61,14927,14988
49,04/25/20,26512,1644,14927,372,43,0,43
50,04/26/20,26773,1670,14927,261,26,0,26
