dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/07/20,1,0,0,0,0,0,0
03/08/20,1,0,0,0,0,0,0
03/09/20,1,0,0,0,0,0,0
03/10/20,2,0,0,1,0,0,0
03/11/20,2,0,0,0,0,0,0
03/12/20,3,0,0,1,0,0,0
03/13/20,3,0,0,0,0,0,0
03/14/20,4,0,0,1,0,0,0
03/15/20,9,0,0,5,0,0,0
03/16/20,10,0,0,1,0,0,0
03/17/20,17,0,0,7,0,0,0
03/18/20,29,0,0,12,0,0,0
03/19/20,44,1,0,15,1,0,1
03/20/20,49,1,0,5,0,0,0
03/21/20,53,1,0,4,0,0,0
03/22/20,67,2,0,14,1,0,1
03/23/20,81,2,0,14,0,0,0
03/24/20,106,3,0,25,1,0,1
03/25/20,164,5,0,58,2,0,2
03/26/20,248,7,0,84,2,0,2
03/27/20,322,8,0,74,1,0,1
03/28/20,377,15,0,55,7,0,7
03/29/20,429,16,0,52,1,0,1
03/30/20,481,17,0,52,1,0,1
03/31/20,565,23,0,84,6,0,6
04/01/20,719,30,0,154,7,0,7
04/02/20,879,34,0,160,4,0,4
04/03/20,988,38,383,109,4,383,387
04/04/20,1159,42,0,171,4,-383,-379
04/05/20,1252,46,0,93,4,0,4
04/06/20,1327,51,522,75,5,522,527
04/07/20,1472,67,612,145,16,90,106
04/08/20,1524,79,686,52,12,74,86
04/09/20,1684,80,686,160,1,0,1
04/10/20,1794,88,790,110,8,104,112
04/11/20,1868,94,865,74,6,75,81
04/12/20,1970,96,865,102,2,0,2
04/13/20,2069,99,865,99,3,0,3
04/14/20,2184,108,1060,115,9,195,204
04/15/20,2263,123,1115,79,15,55,70
04/16/20,2357,131,1240,94,8,125,133
04/17/20,2465,136,1331,108,5,91,96
04/18/20,2570,139,1515,105,3,184,187
04/19/20,2599,140,1575,29,1,60,61
04/20/20,2680,143,1614,81,3,39,42
04/21/20,2807,164,1702,127,21,88,109
04/22/20,2894,170,1772,87,6,70,76
04/23/20,3017,179,1884,123,9,112,121
04/24/20,3121,188,1961,104,9,77,86
04/25/20,3193,194,2080,72,6,119,125
04/26/20,3253,195,2139,60,1,59,60
04/27/20,3280,197,2167,27,2,28,30
