dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/16/20,1,0,0,0,0,0,0
03/17/20,2,0,0,1,0,0,0
03/18/20,2,0,0,0,0,0,0
03/19/20,3,0,0,1,0,0,0
03/20/20,3,0,0,0,0,0,0
03/21/20,6,0,0,3,0,0,0
03/22/20,6,0,0,0,0,0,0
03/23/20,17,0,0,11,0,0,0
03/24/20,17,0,0,0,0,0,0
03/25/20,17,0,0,0,0,0,0
03/26/20,17,0,0,0,0,0,0
03/27/20,19,0,0,2,0,0,0
03/28/20,22,0,0,3,0,0,0
03/29/20,23,0,0,1,0,0,0
03/30/20,30,0,0,7,0,0,0
03/31/20,30,0,21,0,0,21,21
04/01/20,30,0,21,0,0,0,0
04/02/20,33,0,25,3,0,4,4
04/03/20,38,0,29,5,0,4,4
04/04/20,40,0,34,2,0,5,5
04/05/20,42,1,34,2,1,0,1
04/06/20,43,1,36,1,0,2,2
04/07/20,43,1,36,0,0,0,0
04/08/20,45,1,39,2,0,3,3
04/09/20,46,1,39,1,0,0,0
04/10/20,50,1,43,4,0,4,4
04/11/20,51,1,43,1,0,0,0
04/12/20,51,1,43,0,0,0,0
04/13/20,51,1,43,0,0,0,0
04/14/20,51,1,44,0,0,1,1
04/15/20,51,1,44,0,0,0,0
04/16/20,51,1,46,0,0,2,2
04/17/20,51,2,46,0,1,0,1
04/18/20,53,3,46,2,1,0,1
04/19/20,53,3,48,0,0,2,2
04/20/20,53,3,48,0,0,0,0
04/21/20,54,3,48,1,0,0,0
04/22/20,54,3,48,0,0,0,0
04/23/20,54,3,48,0,0,0,0
04/24/20,54,3,50,0,0,2,2
04/25/20,55,3,51,1,0,1,1
04/26/20,57,4,51,2,1,0,1
04/27/20,59,4,51,2,0,0,0
