dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,4,0,0,4,0,0,0
03/06/20,7,0,0,3,0,0,0
03/07/20,16,0,0,9,0,0,0
03/08/20,16,0,0,0,0,0,0
03/09/20,19,0,0,3,0,0,0
03/10/20,26,0,0,7,0,0,0
03/11/20,30,0,0,4,0,0,0
03/12/20,30,0,0,0,0,0,0
03/13/20,31,0,0,1,0,0,0
03/14/20,35,0,0,4,0,0,0
03/15/20,38,0,0,3,0,0,0
03/16/20,38,0,0,0,0,0,0
03/17/20,39,0,0,1,0,0,0
03/18/20,41,0,0,2,0,0,0
03/19/20,44,0,0,3,0,0,0
03/20/20,47,0,17,3,0,17,17
03/21/20,48,0,17,1,0,0,0
03/22/20,52,0,17,4,0,0,0
03/23/20,59,0,17,7,0,0,0
03/24/20,59,0,17,0,0,0,0
03/25/20,59,0,17,0,0,0,0
03/26/20,84,1,17,25,1,0,1
03/27/20,91,1,17,7,0,0,0
03/28/20,98,1,18,7,0,1,1
03/29/20,109,1,18,11,0,0,0
03/30/20,116,1,18,7,0,0,0
03/31/20,119,1,18,3,0,0,0
04/01/20,134,1,18,15,0,0,0
04/02/20,161,1,18,27,0,0,0
04/03/20,194,1,21,33,0,3,3
04/04/20,217,1,21,23,0,0,0
04/05/20,237,1,25,20,0,4,4
04/06/20,254,1,24,17,0,-1,-1
04/07/20,261,1,42,7,0,18,18
04/08/20,263,1,44,2,0,2,2
04/09/20,263,1,44,0,0,0,0
04/10/20,267,2,45,4,1,1,2
04/11/20,268,2,57,1,0,12,12
04/12/20,290,2,58,22,0,1,1
04/13/20,308,2,58,18,0,0,0
04/14/20,308,2,62,0,0,4,4
04/15/20,374,2,63,66,0,1,1
04/16/20,374,2,63,0,0,0,0
04/17/20,402,2,69,28,0,6,6
04/18/20,418,2,69,16,0,0,0
04/19/20,437,3,71,19,1,2,3
04/20/20,449,3,71,12,0,0,0
04/21/20,466,4,71,17,1,0,1
04/22/20,474,4,71,8,0,0,0
04/23/20,480,4,92,6,0,21,21
04/24/20,484,4,92,4,0,0,0
04/25/20,342,2,92,-142,-2,0,-2
04/26/20,342,2,83,0,0,-9,-9
04/27/20,342,2,83,0,0,0,0
