dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0
03/09/20,0,0,0,0,0,0,0
03/10/20,0,0,0,0,0,0,0
03/11/20,0,0,0,0,0,0,0
03/12/20,0,0,0,0,0,0,0
03/13/20,1,0,0,1,0,0,0
03/14/20,1,0,0,0,0,0,0
03/15/20,1,0,0,0,0,0,0
03/16/20,1,0,0,0,0,0,0
03/17/20,3,0,0,2,0,0,0
03/18/20,6,0,0,3,0,0,0
03/19/20,6,0,0,0,0,0,0
03/20/20,12,0,0,6,0,0,0
03/21/20,14,0,0,2,0,0,0
03/22/20,22,0,0,8,0,0,0
03/23/20,22,0,0,0,0,0,0
03/24/20,36,0,0,14,0,0,0
03/25/20,42,1,0,6,1,0,1
03/26/20,59,1,0,17,0,0,0
03/27/20,69,1,0,10,0,0,0
03/28/20,85,2,0,16,1,0,1
03/29/20,102,2,0,17,0,0,0
03/30/20,114,3,0,12,1,0,1
03/31/20,119,3,0,5,0,0,0
04/01/20,133,3,0,14,0,0,0
04/02/20,143,3,0,10,0,0,0
04/03/20,157,3,0,14,0,0,0
04/04/20,171,5,0,14,2,0,2
04/05/20,185,6,0,14,1,0,1
04/06/20,191,6,0,6,0,0,0
04/07/20,213,6,29,22,0,29,29
04/08/20,226,7,32,13,1,3,4
04/09/20,235,7,49,9,0,17,17
04/10/20,246,7,55,11,0,6,6
04/11/20,257,8,63,11,1,8,9
04/12/20,272,8,66,15,0,3,3
04/13/20,277,8,85,5,0,19,19
04/14/20,285,9,98,8,1,13,14
04/15/20,293,9,106,8,0,8,8
04/16/20,300,9,110,7,0,4,4
04/17/20,309,9,128,9,0,18,18
04/18/20,314,9,147,5,0,19,19
04/19/20,319,9,153,5,0,6,6
04/20/20,321,9,161,2,0,8,8
04/21/20,329,9,168,8,0,7,7
04/22/20,335,9,196,6,0,28,28
04/23/20,337,9,209,2,0,13,13
04/24/20,339,9,208,2,0,-1,-1
04/25/20,339,9,217,0,0,9,9
04/26/20,341,9,217,2,0,0,0
04/27/20,345,9,218,4,0,1,1
