dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0
03/09/20,0,0,0,0,0,0,0
03/10/20,0,0,0,0,0,0,0
03/11/20,0,0,0,0,0,0,0
03/12/20,6,0,0,6,0,0,0
03/13/20,9,0,0,3,0,0,0
03/14/20,12,0,0,3,0,0,0
03/15/20,16,0,0,4,0,0,0
03/16/20,22,0,0,6,0,0,0
03/17/20,22,0,0,0,0,0,0
03/18/20,33,0,0,11,0,0,0
03/19/20,46,0,0,13,0,0,0
03/20/20,96,0,0,50,0,0,0
03/21/20,118,0,0,22,0,0,0
03/22/20,165,0,0,47,0,0,0
03/23/20,174,0,0,9,0,0,0
03/24/20,218,0,0,44,0,0,0
03/25/20,280,2,11,62,2,11,13
03/26/20,335,3,13,55,1,2,3
03/27/20,381,3,19,46,0,6,6
03/28/20,404,5,24,23,2,5,7
03/29/20,426,6,28,22,1,4,5
03/30/20,473,7,29,47,1,1,2
03/31/20,523,8,35,50,1,6,7
04/01/20,584,10,42,61,2,7,9
04/02/20,643,12,47,59,2,5,7
04/03/20,704,12,60,61,0,13,13
04/04/20,743,14,79,39,2,19,21
04/05/20,830,16,97,87,2,18,20
04/06/20,875,16,102,45,0,5,5
04/07/20,946,16,142,71,0,40,40
04/08/20,1000,18,208,54,2,66,68
04/09/20,1119,21,288,119,3,80,83
04/10/20,1171,23,312,52,2,24,26
04/11/20,1226,24,340,55,1,28,29
04/12/20,1280,27,367,54,3,27,30
04/13/20,1410,30,391,130,3,24,27
04/14/20,1480,30,427,70,0,36,36
04/15/20,1569,33,489,89,3,62,65
04/16/20,1620,37,548,51,4,59,63
04/17/20,1695,37,593,75,0,45,45
04/18/20,1739,38,703,44,1,110,111
04/19/20,1781,40,721,42,2,18,20
04/20/20,1923,42,749,142,2,28,30
04/21/20,2227,43,809,304,1,60,61
04/22/20,2276,42,863,49,-1,54,53
04/23/20,2465,45,902,189,3,39,42
04/24/20,2741,45,929,276,0,27,27
04/25/20,2829,47,964,88,2,35,37
04/26/20,2941,49,985,112,2,21,23
04/27/20,3017,50,987,76,1,2,3
