dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/05/20,0,0,0,0,0,0,0
03/06/20,2,0,0,2,0,0,0
03/07/20,8,0,0,6,0,0,0
03/08/20,8,0,0,0,0,0,0
03/09/20,9,0,0,1,0,0,0
03/10/20,12,0,0,3,0,0,0
03/11/20,28,0,0,16,0,0,0
03/12/20,45,0,0,17,0,0,0
03/13/20,72,0,0,27,0,0,0
03/14/20,101,1,0,29,1,0,1
03/15/20,131,1,0,30,0,0,0
03/16/20,131,1,0,0,0,0,0
03/17/20,160,1,0,29,0,0,0
03/18/20,183,2,0,23,1,0,1
03/19/20,216,2,0,33,0,0,0
03/20/20,277,3,0,61,1,0,1
03/21/20,363,4,0,86,1,0,1
03/22/20,475,5,0,112,1,0,1
03/23/20,591,6,0,116,1,0,1
03/24/20,720,7,0,129,1,0,1
03/25/20,912,11,0,192,4,0,4
03/26/20,1086,19,0,174,8,0,8
03/27/20,1430,24,0,344,5,0,5
03/28/20,1734,31,0,304,7,0,7
03/29/20,2061,44,0,327,13,0,13
03/30/20,2627,51,0,566,7,0,7
03/31/20,2627,51,0,0,0,0,0
04/01/20,2966,69,0,339,18,0,18
04/02/20,3342,80,0,376,11,0,11
04/03/20,3728,97,0,386,17,0,17
04/04/20,4173,111,0,445,14,0,14
04/05/20,4565,126,0,392,15,0,15
04/06/20,4950,140,0,385,14,0,14
04/07/20,5172,150,0,222,10,0,10
04/08/20,5429,179,0,257,29,0,29
04/09/20,5655,193,0,226,14,0,14
04/10/20,6510,250,0,855,57,0,57
04/11/20,6510,250,0,0,0,0,0
04/12/20,6893,274,0,383,24,0,24
04/13/20,7684,304,0,791,30,0,30
04/14/20,7691,308,0,7,4,0,4
04/15/20,7941,329,0,250,21,0,21
04/16/20,8280,357,0,339,28,0,28
04/17/20,8675,374,0,395,17,0,17
04/18/20,9047,391,0,372,17,0,17
04/19/20,9433,411,0,386,20,0,20
04/20/20,9730,422,0,297,11,0,11
04/21/20,10106,449,0,376,27,0,27
04/22/20,10447,486,0,341,37,0,37
04/23/20,10878,508,0,431,22,0,22
04/24/20,11262,552,0,384,44,0,44
04/25/20,12256,674,2086,994,122,2086,2208
04/26/20,12968,672,2150,712,-2,64,62
04/27/20,13441,680,2150,473,8,0,8
