dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/16/20,3,0,0,0,0,0,0
03/17/20,5,0,0,2,0,0,0
03/18/20,8,0,0,3,0,0,0
03/19/20,12,0,0,4,0,0,0
03/20/20,14,0,0,2,0,0,0
03/21/20,15,0,0,1,0,0,0
03/22/20,27,1,0,12,1,0,1
03/23/20,29,1,0,2,0,0,0
03/24/20,32,1,0,3,0,0,0
03/25/20,37,1,0,5,0,0,0
03/26/20,45,1,0,8,0,0,0
03/27/20,51,1,0,6,0,0,0
03/28/20,55,1,7,4,0,7,7
03/29/20,56,1,7,1,0,0,0
03/30/20,58,1,7,2,0,0,0
03/31/20,69,2,7,11,1,0,1
04/01/20,77,3,9,8,1,2,3
04/02/20,82,3,12,5,0,3,3
04/03/20,84,4,14,2,1,2,3
04/04/20,93,4,20,9,0,6,6
04/05/20,112,4,23,19,0,3,3
04/06/20,113,4,25,1,0,2,2
04/07/20,121,4,27,8,0,2,2
04/08/20,125,4,31,4,0,4,4
04/09/20,128,4,33,3,0,2,2
04/10/20,130,4,41,2,0,8,8
04/11/20,133,5,58,3,1,17,18
04/12/20,133,5,58,0,0,0,0
04/13/20,133,5,58,0,0,0,0
04/14/20,133,5,66,0,0,8,8
04/15/20,133,5,73,0,0,7,7
04/16/20,133,5,86,0,0,13,13
04/17/20,133,5,97,0,0,11,11
04/18/20,133,5,110,0,0,13,13
04/19/20,133,5,112,0,0,2,2
04/20/20,133,5,112,0,0,0,0
04/21/20,133,5,114,0,0,2,2
04/22/20,134,5,119,1,0,5,5
04/23/20,135,5,126,1,0,7,7
04/24/20,141,5,126,6,0,0,0
04/25/20,141,5,128,0,0,2,2
04/26/20,141,5,128,0,0,0,0
04/27/20,144,5,128,3,0,0,0
