dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/07/20,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0
03/09/20,0,0,0,0,0,0,0
03/10/20,0,0,0,0,0,0,0
03/11/20,0,0,0,0,0,0,0
03/12/20,0,0,0,0,0,0,0
03/13/20,0,0,0,0,0,0,0
03/14/20,2,0,0,2,0,0,0
03/15/20,5,0,0,3,0,0,0
03/16/20,5,0,0,0,0,0,0
03/17/20,7,0,0,2,0,0,0
03/18/20,9,0,0,2,0,0,0
03/19/20,11,0,0,2,0,0,0
03/20/20,23,0,0,12,0,0,0
03/21/20,31,0,0,8,0,0,0
03/22/20,42,0,0,11,0,0,0
03/23/20,47,0,0,5,0,0,0
03/24/20,50,0,0,3,0,0,0
03/25/20,73,0,0,23,0,0,0
03/26/20,123,0,0,50,0,0,0
03/27/20,189,3,0,66,3,0,3
03/28/20,230,4,0,41,1,0,1
03/29/20,261,5,0,31,1,0,1
03/30/20,310,6,0,49,1,0,1
03/31/20,415,7,0,105,1,0,1
04/01/20,525,9,0,110,2,0,2
04/02/20,669,9,0,144,0,0,0
04/03/20,891,9,0,222,0,0,0
04/04/20,1013,10,0,122,1,0,1
04/05/20,1077,10,0,64,0,0,0
04/06/20,1101,10,0,24,0,0,0
04/07/20,1170,13,0,69,3,0,3
04/08/20,1210,15,0,40,2,0,2
04/09/20,1232,18,0,22,3,0,3
04/10/20,1353,24,0,121,6,0,6
04/11/20,1396,25,0,43,1,0,1
04/12/20,1407,27,0,11,2,0,2
04/13/20,1426,27,0,19,0,0,0
04/14/20,1453,33,0,27,6,0,6
04/15/20,1464,39,0,11,6,0,6
04/16/20,1587,41,0,123,2,0,2
04/17/20,1609,41,390,22,0,390,390
04/18/20,1655,43,453,46,2,63,65
04/19/20,1668,44,520,13,1,67,68
04/20/20,1672,45,585,4,1,65,66
04/21/20,1736,48,660,64,3,75,78
04/22/20,1766,51,710,30,3,50,53
04/23/20,1802,54,767,36,3,57,60
04/24/20,1836,54,822,34,0,55,55
04/25/20,1870,54,867,34,0,45,45
04/26/20,1887,56,938,17,2,71,73
04/27/20,1897,56,983,10,0,45,45
