dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/01/20,88,0,0,0,0,0,0
03/02/20,122,0,0,34,0,0,0
03/03/20,164,0,0,42,0,0,0
03/04/20,218,0,0,54,0,0,0
03/05/20,332,0,0,114,0,0,0
03/06/20,471,0,0,139,0,0,0
03/07/20,642,0,0,171,0,0,0
03/08/20,886,0,0,244,0,0,0
03/09/20,1195,0,0,309,0,0,0
03/10/20,1509,0,0,314,0,0,0
03/11/20,1908,0,0,399,0,0,0
03/12/20,2492,0,0,584,0,0,0
03/13/20,3112,0,0,620,0,0,0
03/14/20,3800,0,0,688,0,0,0
03/15/20,4424,0,0,624,0,0,0
03/16/20,5243,0,0,819,0,0,0
03/17/20,5909,0,0,666,0,0,0
03/18/20,6610,0,0,701,0,0,0
03/19/20,7584,3,0,974,3,0,3
03/20/20,8459,3,0,875,0,0,0
03/21/20,9358,5,0,899,2,0,2
03/22/20,10362,8,0,1004,3,0,3
03/23/20,11587,15,0,1225,7,0,7
03/24/20,12527,24,0,940,9,0,9
03/25/20,13449,43,0,922,19,0,19
03/26/20,14790,60,0,1341,17,0,17
03/27/20,15986,92,0,1196,32,0,32
03/28/20,17326,92,0,1340,0,0,0
03/29/20,18507,132,0,1181,40,0,40
03/30/20,19792,184,0,1285,52,0,52
03/31/20,20892,259,0,1100,75,0,75
04/01/20,21978,337,0,1086,78,0,78
04/02/20,23312,417,0,1334,80,0,80
04/03/20,24223,479,56,911,62,56,118
04/04/20,25193,540,56,970,61,0,61
04/05/20,26140,617,56,947,77,0,77
04/06/20,27184,727,56,1044,110,0,110
04/07/20,27852,845,56,668,118,0,118
04/08/20,28590,959,56,738,114,0,114
04/09/20,29501,1076,56,911,117,0,117
04/10/20,30167,1281,56,666,205,0,205
04/11/20,31136,1392,595,969,111,539,650
04/12/20,31865,1487,433,729,95,-162,-67
04/13/20,32565,1602,447,700,115,14,129
04/14/20,32984,1768,452,419,166,5,171
04/15/20,33465,1921,452,481,153,0,153
04/16/20,34057,2093,617,592,172,165,337
04/17/20,34765,2227,629,708,134,12,146
04/18/20,35575,2308,3237,810,81,2608,2689
04/19/20,36481,2391,3237,906,83,0,83
04/20/20,37207,2468,3237,726,77,0,77
04/21/20,37565,2700,3237,358,232,0,232
04/22/20,37779,2813,3237,214,113,0,113
04/23/20,35291,2977,3237,-2488,164,0,164
04/24/20,36641,3085,3237,1350,108,0,108
04/25/20,37203,3274,8342,562,189,5105,5294
04/26/20,37778,3315,8342,575,41,0,41
04/27/20,38210,3407,8342,432,92,0,92
