dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/04/20,2,0,0,0,0,0,0
03/05/20,2,0,0,0,0,0,0
03/06/20,2,0,0,0,0,0,0
03/07/20,2,0,0,0,0,0,0
03/08/20,4,0,0,2,0,0,0
03/09/20,4,0,0,0,0,0,0
03/10/20,4,0,0,0,0,0,0
03/11/20,4,0,0,0,0,0,0
03/12/20,6,0,0,2,0,0,0
03/13/20,6,0,0,0,0,0,0
03/14/20,7,0,0,1,0,0,0
03/15/20,13,0,0,6,0,0,0
03/16/20,13,0,0,0,0,0,0
03/17/20,17,0,0,4,0,0,0
03/18/20,26,0,0,9,0,0,0
03/19/20,39,0,0,13,0,0,0
03/20/20,44,0,0,5,0,0,0
03/21/20,55,0,0,11,0,0,0
03/22/20,65,0,0,10,0,0,0
03/23/20,78,0,0,13,0,0,0
03/24/20,101,1,0,23,1,0,1
03/25/20,108,1,0,7,0,0,0
03/26/20,137,1,0,29,0,0,0
03/27/20,158,1,0,21,0,0,0
03/28/20,187,2,0,29,1,0,1
03/29/20,214,2,0,27,0,0,0
03/30/20,314,3,0,100,1,0,1
03/31/20,314,3,0,0,0,0,0
04/01/20,415,4,56,101,1,56,57
04/02/20,415,4,91,0,0,35,35
04/03/20,479,5,101,64,1,10,11
04/04/20,540,7,144,61,2,43,45
04/05/20,621,9,146,81,2,2,4
04/06/20,669,9,147,48,0,1,1
04/07/20,715,9,151,46,0,4,4
04/08/20,788,18,211,73,9,60,69
04/09/20,788,18,227,0,0,16,16
04/10/20,819,21,234,31,3,7,10
04/11/20,885,22,234,66,1,0,1
04/12/20,929,23,236,44,1,2,3
04/13/20,985,23,239,56,0,3,3
04/14/20,1020,23,249,35,0,10,10
04/15/20,1139,32,365,119,9,116,125
04/16/20,1139,32,365,0,0,0,0
04/17/20,1287,37,455,148,5,90,95
04/18/20,1287,37,468,0,0,13,13
04/19/20,1342,38,513,55,1,45,46
04/20/20,1392,41,521,50,3,8,11
04/21/20,1491,42,521,99,1,0,1
04/22/20,1491,42,546,0,0,25,25
04/23/20,1588,48,550,97,6,4,10
04/24/20,1670,51,551,82,3,1,4
04/25/20,1720,53,578,50,2,27,29
04/26/20,1787,60,777,67,7,199,206
04/27/20,1864,60,779,77,0,2,2
