dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/05/20,1,0,0,0,0,0,0
03/06/20,1,0,0,0,0,0,0
03/07/20,4,0,0,3,0,0,0
03/08/20,6,0,0,2,0,0,0
03/09/20,11,0,0,5,0,0,0
03/10/20,15,0,0,4,0,0,0
03/11/20,24,1,0,9,1,0,1
03/12/20,30,1,0,6,0,0,0
03/13/20,50,1,0,20,0,0,0
03/14/20,50,1,0,0,0,0,0
03/15/20,98,2,0,48,1,0,1
03/16/20,178,2,0,80,0,0,0
03/17/20,267,3,0,89,1,0,1
03/18/20,427,5,0,160,2,0,2
03/19/20,742,9,0,315,4,0,4
03/20/20,890,11,0,148,2,0,2
03/21/20,1327,16,0,437,5,0,5
03/22/20,1914,20,0,587,4,0,4
03/23/20,2844,27,0,930,7,0,7
03/24/20,3675,44,0,831,17,0,17
03/25/20,4402,62,0,727,18,0,18
03/26/20,6876,81,0,2474,19,0,19
03/27/20,8825,108,0,1949,27,0,27
03/28/20,11124,140,0,2299,32,0,32
03/29/20,13386,161,0,2262,21,0,21
03/30/20,16636,198,0,3250,37,0,37
03/31/20,18696,267,0,2060,69,0,69
04/01/20,22255,355,0,3559,88,0,88
04/02/20,25590,537,0,3335,182,0,182
04/03/20,29895,646,0,4305,109,0,109
04/04/20,34124,846,0,4229,200,0,200
04/05/20,37505,917,0,3381,71,0,71
04/06/20,41090,1003,0,3585,86,0,86
04/07/20,44416,1232,0,3326,229,0,229
04/08/20,47437,1504,0,3021,272,0,272
04/09/20,51027,1700,0,3590,196,0,196
04/10/20,54588,1932,682,3561,232,682,914
04/11/20,58151,2183,0,3563,251,-682,-431
04/12/20,61850,2350,0,3699,167,0,167
04/13/20,64584,2443,0,2734,93,0,93
04/14/20,68824,2805,0,4240,362,0,362
04/15/20,71030,3156,0,2206,351,0,351
04/16/20,75317,3518,0,4287,362,0,362
04/17/20,78467,3840,0,3150,322,0,322
04/18/20,81420,4070,0,2953,230,0,230
04/19/20,85301,4202,0,3881,132,0,132
04/20/20,88806,4377,0,3505,175,0,175
04/21/20,92387,4753,0,3581,376,0,376
04/22/20,95865,5063,0,3478,310,0,310
04/23/20,99989,5368,0,4124,305,0,305
04/24/20,102196,5617,0,2207,249,0,249
04/25/20,105523,5863,0,3327,246,0,246
04/26/20,109038,5938,0,3515,75,0,75
04/27/20,111188,6044,0,2150,106,0,106
