dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/04/20,6,0,0,0,0,0,0
03/05/20,22,0,0,16,0,0,0
03/06/20,33,0,0,11,0,0,0
03/07/20,76,0,0,43,0,0,0
03/08/20,105,0,0,29,0,0,0
03/09/20,142,0,0,37,0,0,0
03/10/20,173,0,0,31,0,0,0
03/11/20,216,0,0,43,0,0,0
03/12/20,216,0,0,0,0,0,0
03/13/20,421,0,0,205,0,0,0
03/14/20,524,0,0,103,0,0,0
03/15/20,729,3,0,205,3,0,3
03/16/20,950,7,0,221,4,0,4
03/17/20,1700,7,0,750,0,0,0
03/18/20,2382,12,0,682,5,0,5
03/19/20,4152,12,0,1770,0,0,0
03/20/20,7102,35,0,2950,23,0,23
03/21/20,10356,44,0,3254,9,0,9
03/22/20,15168,114,0,4812,70,0,70
03/23/20,20875,114,0,5707,0,0,0
03/24/20,25665,210,0,4790,96,0,96
03/25/20,30811,285,0,5146,75,0,75
03/26/20,37258,385,0,6447,100,0,100
03/27/20,44635,519,2045,7377,134,2045,2179
03/28/20,52318,728,2726,7683,209,681,890
03/29/20,59513,965,3572,7195,237,846,1083
03/30/20,66497,1218,4204,6984,253,632,885
03/31/20,75795,1550,4975,9298,332,771,1103
04/01/20,83712,1941,6142,7917,391,1167,1558
04/02/20,92381,2373,7434,8669,432,1292,1724
04/03/20,102863,2935,8886,10482,562,1452,2014
04/04/20,113704,3565,10478,10841,630,1592,2222
04/05/20,122031,4159,12187,8327,594,1709,2303
04/06/20,130689,4758,13366,8658,599,1179,1778
04/07/20,138863,5489,14590,8174,731,1224,1955
04/08/20,149316,6268,16353,10453,779,1763,2542
04/09/20,159937,7067,18297,10621,799,1944,2743
04/10/20,170512,7844,20249,10575,777,1952,2729
04/11/20,180458,8627,22025,9946,783,1776,2559
04/12/20,188694,9385,23887,8236,758,1862,2620
04/13/20,195031,10056,23887,6337,671,0,671
04/14/20,202208,10834,23887,7177,778,0,778
04/15/20,213779,11586,23887,11571,752,0,752
04/16/20,222284,12192,23887,8505,606,0,606
04/17/20,229642,12822,23887,7358,630,0,630
04/18/20,236732,13362,23887,7090,540,0,540
04/19/20,242786,13869,23887,6054,507,0,507
04/20/20,247512,14347,23887,4726,478,0,478
04/21/20,251690,14828,23887,4178,481,0,481
04/22/20,257216,15302,23887,5526,474,0,474
04/23/20,263460,15740,23887,6244,438,0,438
04/24/20,271590,16162,23887,8130,422,0,422
04/25/20,282143,16599,23887,10553,437,0,437
04/26/20,288045,16966,23887,5902,367,0,367
04/27/20,291996,17303,23887,3951,337,0,337
