dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/07/20,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0
03/09/20,0,0,0,0,0,0,0
03/10/20,0,0,0,0,0,0,0
03/11/20,0,0,0,0,0,0,0
03/12/20,1,0,0,1,0,0,0
03/13/20,1,0,0,0,0,0,0
03/14/20,2,0,0,1,0,0,0
03/15/20,3,0,0,1,0,0,0
03/16/20,3,0,0,0,0,0,0
03/17/20,10,0,0,7,0,0,0
03/18/20,15,0,0,5,0,0,0
03/19/20,18,0,0,3,0,0,0
03/20/20,19,0,0,1,0,0,0
03/21/20,23,0,0,4,0,0,0
03/22/20,24,0,0,1,0,0,0
03/23/20,26,0,0,2,0,0,0
03/24/20,29,0,0,3,0,0,0
03/25/20,44,0,7,15,0,7,7
03/26/20,53,0,12,9,0,5,5
03/27/20,70,0,17,17,0,5,5
03/28/20,82,0,18,12,0,1,1
03/29/20,86,0,20,4,0,2,2
03/30/20,94,0,24,8,0,4,4
03/31/20,109,0,26,15,0,2,2
04/01/20,130,0,31,21,0,5,5
04/02/20,150,0,31,20,0,0,0
04/03/20,162,0,37,12,0,6,6
04/04/20,187,0,49,25,0,12,12
04/05/20,197,0,50,10,0,1,1
04/06/20,210,0,52,13,0,2,2
04/07/20,216,0,62,6,0,10,10
04/08/20,221,0,62,5,0,0,0
04/09/20,230,0,94,9,0,32,32
04/10/20,253,0,105,23,0,11,11
04/11/20,261,0,129,8,0,24,24
04/12/20,261,0,137,0,0,8,8
04/13/20,275,1,138,14,1,1,2
04/14/20,275,1,140,0,0,2,2
04/15/20,287,2,129,12,1,-11,-10
04/16/20,296,2,148,9,0,19,19
04/17/20,296,2,148,0,0,0,0
04/18/20,305,2,206,9,0,58,58
04/19/20,309,2,227,4,0,21,21
04/20/20,313,2,233,4,0,6,6
04/21/20,320,6,237,7,4,4,8
04/22/20,322,6,254,2,0,17,17
04/23/20,326,7,275,4,1,21,22
04/24/20,349,7,321,23,0,46,46
04/25/20,349,7,321,0,0,0,0
04/26/20,362,7,334,13,0,13,13
04/27/20,370,7,342,8,0,8,8
