roi,quantile,ll_,R0,beta,sigmac,sigmar,sigmad,sigmau,mbase,mlocation,extra_std,q,cbase,clocation,car (week 0),car (week 1),car (week 2),car (week 3),car (week 4),car (week 5),ifr (week 0),ifr (week 1),ifr (week 2),ifr (week 3),ifr (week 4),ifr (week 5),waic,loo,car (week 6),ifr (week 6),car (week 7),ifr (week 7),car (week 8),car (week 9),car (week 10),ifr (week 8),ifr (week 9),ifr (week 10),car (week 11),ifr (week 11)
Ireland,0.025,-457.88854793086017,1.8002266608796855,0.20751019104729065,0.0038976167953040344,0.010613620320426478,0.014286255298300117,0.023158820815833946,0.023588069004871905,6.746947177964529,1.5383666841123853,0.006288614642418467,0.1444928772208989,0.4537247029606514,0.022121373977760338,0.02256470602012748,0.02477063022747935,0.026721698232768737,0.02901931518035091,0.029957050653005385,0.0013019892718676561,0.0019335091201710373,0.002490782429126569,0.003121876441868816,0.003792875146070354,0.00423681016680049,777.8583288401629,777.8767715301025,,,,,,,,,,,,
Ireland,0.25,-453.26254766934034,3.808756951045627,0.3381756771473876,0.01299006122988628,0.01502395417505488,0.021244124304834907,0.04482539288853672,0.18191117683685978,21.569381937949295,1.7171827833263165,0.06275212337013415,1.1436918047780371,7.241385408165803,0.061285411800693385,0.07765263058648005,0.0873347467595154,0.09389972353405662,0.09873825706630412,0.10284797462776868,0.0038349952018633363,0.007541069703382402,0.010245471193077735,0.012380130920054414,0.014107725982870916,0.01540716909759448,861.3337226560901,861.3550244155186,,,,,,,,,,,,
Ireland,0.5,-450.94292866684407,6.075760438443856,0.6038057301059965,0.028161160405750237,0.018408970446804344,0.02676619082347912,0.0673324790329291,0.28581468319430436,36.660092391899326,1.8190699910126003,0.1494899463665933,2.8187249973965924,34.57184205950191,0.10659515879206405,0.14043632308638632,0.15788387423932024,0.16851172407561232,0.17580224835844865,0.181870578666181,0.006879291990169116,0.014478996349885545,0.019827880426473467,0.023458020979548817,0.026067748689432423,0.028117762612314495,905.1333539658208,905.1561558821671,,,,,,,,,,,,
Ireland,0.75,-448.78350993590965,9.921092942199577,1.0137727608544314,0.06324618759271164,0.023132337019657813,0.034749989798374396,0.1053574535549236,0.4185303175506787,72.31152691817547,1.9273967688279714,0.29532333133690397,5.423612850427091,115.44726768999661,0.1939768777842827,0.2533914508751397,0.28038744809332133,0.2987541135048757,0.3120642372818955,0.32330086970964,0.013141952017278254,0.027801078008102637,0.0375780453696105,0.04416680421200704,0.0490895600313835,0.05301744849965971,948.9329852755515,948.9572873488156,,,,,,,,,,,,
Ireland,0.975,-444.91364867264184,22.925306765966127,2.525785579277649,0.4645088864488167,0.037243442808649795,0.06587462879943089,0.3162863710588979,0.8061754191954613,317.1629187753839,2.1592662886772813,0.7654537990127682,15.13205999833392,1346.2622253583424,0.9634735850227248,0.9123163100109328,0.8941936141959373,0.8920348881366896,0.8928706163633247,0.8960274985105343,0.060002693206623575,0.10498541079473205,0.12351140777745002,0.13308314859063278,0.13989318179488797,0.14802049610170745,1032.4083790914785,1032.4355402342317,,,,,,,,,,,,
Haiti,0.025,-82.1047886773351,1.2249211522082497,0.09805398964878076,0.0014709763643661403,0.022791024825797833,0.026071613246145087,0.02546596480877276,0.003804072405278226,7.525704113105424,1.4822754066014392,0.0041046330671620475,0.08039368049475716,0.42524126338540197,0.021476116170832418,0.016099333674194985,0.013850620123813946,,,,0.0036931718851909443,0.0047444849954119345,0.004566608502289332,,,,122.4663355161431,122.4687313074902,,,,,,,,,,,,
Haiti,0.25,-80.1012583071867,2.4381337302432287,0.29894616471802626,0.01117405114914766,0.039269547343251617,0.04913480517917587,0.05187035964979885,0.042754883791374376,21.813723351969166,1.8727127232478276,0.051987209407976076,1.0682187012142763,5.772518705664048,0.07642545835211655,0.09421522976979692,0.10336921341318434,,,,0.015292259078410315,0.030290663712505175,0.03929626801608868,,,,147.69710931351466,147.7012058511762,,,,,,,,,,,,
Haiti,0.5,-79.55411431370541,4.006866947807206,0.608866065348884,0.032788749854070945,0.054673034390857515,0.0715917170434316,0.08266848542013212,0.10345608217713662,34.39988421554536,2.1043459286151944,0.1281888273740485,2.8202607899344416,23.13474467752285,0.18032315526751622,0.25760041199117456,0.29576218605426796,,,,0.03684960795914194,0.08363740763809349,0.11732246136158264,,,,160.9357241851133,160.94071310624403,,,,,,,,,,,,
Haiti,0.75,-79.28868146598802,6.474923860327674,1.1520617521013103,0.09850856257776557,0.07882524842825897,0.11005127499803545,0.14489126660641982,0.21088053018696828,49.70372878620882,2.3603407081367167,0.25742652882271316,6.166896663609369,97.2917010235517,0.5289374435520038,0.7087591685052717,0.7548527532864926,,,,0.09894286758640176,0.2268824072371472,0.30137959691584587,,,,174.17433905671191,174.18022036131185,,,,,,,,,,,,
Haiti,0.975,-78.88377519917157,14.466015801227353,3.303765025993817,0.6408213803631391,0.17571010995908365,0.32156425003375944,0.5668005203254428,0.6078259878083069,248.6826915321506,2.9405682477555612,0.7161034178750313,17.892404434714155,1120.1613775440776,1.3085288359981153,1.2761602121162594,1.2617997955678364,,,,0.4171207514060087,0.7188828881782214,0.8247885270559897,,,,199.40511285408346,199.41269490499786,,,,,,,,,,,,
