,roi,region,subregion
0,Aruba,Americas,Caribbean
1,Afghanistan,Asia,Southern Asia
2,Angola,Africa,Middle Africa
3,Anguilla,Americas,Caribbean
4,Åland Islands,Europe,Northern Europe
5,Albania,Europe,Southern Europe
6,Andorra,Europe,Southern Europe
7,United Arab Emirates,Asia,Western Asia
8,Argentina,Americas,South America
9,Armenia,Asia,Western Asia
10,American Samoa,Oceania,Polynesia
11,Antarctica,Antarctic,
12,French Southern and Antarctic Lands,Antarctic,
13,Antigua and Barbuda,Americas,Caribbean
14,Australia,Oceania,Australia and New Zealand
15,Austria,Europe,Western Europe
16,Azerbaijan,Asia,Western Asia
17,Burundi,Africa,Eastern Africa
18,Belgium,Europe,Western Europe
19,Benin,Africa,Western Africa
20,Burkina Faso,Africa,Western Africa
21,Bangladesh,Asia,Southern Asia
22,Bulgaria,Europe,Eastern Europe
23,Bahrain,Asia,Western Asia
24,Bahamas,Americas,Caribbean
25,Bosnia and Herzegovina,Europe,Southern Europe
26,Saint Barthélemy,Americas,Caribbean
27,"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa
28,Belarus,Europe,Eastern Europe
29,Belize,Americas,Central America
30,Bermuda,Americas,North America
31,Bolivia,Americas,South America
32,Caribbean Netherlands,Americas,Caribbean
33,Brazil,Americas,South America
34,Barbados,Americas,Caribbean
35,Brunei,Asia,South-Eastern Asia
36,Bhutan,Asia,Southern Asia
37,Bouvet Island,Antarctic,
38,Botswana,Africa,Southern Africa
39,Central African Republic,Africa,Middle Africa
40,Canada,Americas,North America
41,Cocos (Keeling) Islands,Oceania,Australia and New Zealand
42,Switzerland,Europe,Western Europe
43,Chile,Americas,South America
44,China,Asia,Eastern Asia
45,Ivory Coast,Africa,Western Africa
46,Cameroon,Africa,Middle Africa
47,DR Congo,Africa,Middle Africa
48,Republic of the Congo,Africa,Middle Africa
49,Cook Islands,Oceania,Polynesia
50,Colombia,Americas,South America
51,Comoros,Africa,Eastern Africa
52,Cape Verde,Africa,Western Africa
53,Costa Rica,Americas,Central America
54,Cuba,Americas,Caribbean
55,Curaçao,Americas,Caribbean
56,Christmas Island,Oceania,Australia and New Zealand
57,Cayman Islands,Americas,Caribbean
58,Cyprus,Europe,Eastern Europe
59,Czechia,Europe,Eastern Europe
60,Germany,Europe,Western Europe
