Region,Model,Mean R0,CI lower,CI upper,Mean WAIC
US,reducedlinearmodelq0ctime,1.1709,1.0582,2.8022,2113.83
US_AK,reducedlinearmodelNegBinom,5.3817,2.2446,12.6772,380.57
US_AR,reducedlinearmodelNegBinom,5.094,2.3182,10.6434,651.4
US_AZ,reducedlinearmodelNegBinom,4.5859,2.0521,9.6576,702.4
US_DC,reducedlinearmodelNegBinom,4.1767,2.0121,8.4583,674.54
US_DE,reducedlinearmodelNegBinom,4.3228,1.9549,9.1622,611.75
US_GU,reducedlinearmodelq0ctime,3.668,1.613,8.0712,320.9
US_HI,reducedlinearmodelq0,3.7085,1.6552,8.5764,479.39
US_IA,reducedlinearmodelq0,3.5865,1.6911,7.5894,680.52
US_KY,reducedlinearmodelNegBinom,3.7104,1.7222,7.7235,645.72
US_MD,reducedlinearmodelq0,3.6525,1.6968,7.7806,840.32
US_ME,fulllinearmodel,6.6161,2.6191,14.9285,546.71
US_MI,reducedlinearmodelq0,4.5447,2.0823,9.6077,1182.76
US_MN,reducedlinearmodelNegBinom,5.9282,2.6035,12.8863,776.14
US_MT,reducedlinearmodelNegBinom,3.4834,1.5998,7.7379,427.87
US_ND,reducedlinearmodelq0ctime,6.2026,2.2005,15.4126,428.63
US_NH,reducedlinearmodelq0,3.6383,1.7333,7.6567,572.08
US_NJ,reducedlinearmodelq0,4.9708,2.193,10.6695,1150.61
US_NM,reducedlinearmodelq0,3.6381,1.6797,7.7673,579.31
US_NY,nonlinearmodelq0ctime,4.8145,2.2997,9.7687,1563.98
US_OK,reducedlinearmodelq0,4.0572,1.7784,9.2434,668.83
US_RI,fulllinearmodel,4.4476,1.6745,12.7735,645.83
US_SD,fulllinearmodel,2.614,1.3433,5.4752,542.27
US_TN,reducedlinearmodelq0,4.5504,2.0505,9.7967,862.29
US_TX,reducedlinearmodelNegBinom,4.2415,1.8973,8.8841,940.2
US_UT,fulllinearmodel,5.6647,2.1432,13.9614,603.59
US_VA,fulllinearmodel,4.4436,1.7559,10.8041,754.02
US_VI,fulllinearmodel,2.7864,1.1828,6.792,205.07
US_VT,fulllinearmodel,5.6246,2.1564,14.3643,460.52
US_WV,reducedlinearmodelq0ctime,4.0339,1.6006,11.4069,430.01
US_WY,reducedlinearmodelNegBinom,3.512,1.5448,8.0604,392.79
Afghanistan,fulllinearmodel,3.7387,1.437,16.225,482.74
Albania,fulllinearmodel,4.9566,1.8474,19.4881,547.17
Algeria,fulllinearmodel,3.7662,1.6015,14.7461,908.4
Andorra,reducedlinearmodelq0,3.5063,1.5518,8.5459,511.18
Antigua and Barbuda,reducedlinearmodelq0,3.3334,1.1808,11.8899,108.72
Argentina,reducedlinearmodelq0,3.7502,1.8396,8.0823,809.14
Armenia,reducedlinearmodelq0,8.0243,3.0211,20.0347,622.58
Austria,reducedlinearmodelq0,2.8316,1.6084,6.3058,1279.79
Azerbaijan,reducedlinearmodelq0,2.5912,1.3343,5.5903,648.5
Bahamas,reducedlinearmodelNegBinom,3.8781,1.2213,14.5657,189.89
Bahrain,reducedlinearmodelq0ctime,2.8521,1.2433,10.908,873.29
Bangladesh,nonlinearmodelq0ctime,2.6359,1.3806,5.3647,486.79
Barbados,reducedlinearmodelNegBinom,6.2946,1.5782,20.6144,234.71
Belarus,reducedlinearmodelNegBinom,2.7282,1.3846,5.8954,609.55
Belgium,nonlinearmodelq0ctime,4.1299,1.9737,8.218,1394.64
Benin,reducedlinearmodelNegBinom,3.5035,1.1955,13.9714,130.58
Bolivia,fulllinearmodel,5.0565,1.5425,19.4927,412.32
Bosnia and Herzegovina,reducedlinearmodelq0,3.5648,1.7526,7.6993,642.84
Brazil,fulllinearmodel,6.6259,1.9957,24.3728,1107.31
Brunei,reducedlinearmodelq0ctime,4.3744,1.3968,12.2907,365.92
