Region,Model,Mean CAR (week 0),CI lower,CI upper,Mean WAIC
US,reducedlinearmodelq0ctime,2.0959,0.0475,5.1658,2113.83
US_AK,reducedlinearmodelNegBinom,0.0622,0.0182,0.3032,380.57
US_AR,reducedlinearmodelNegBinom,0.0526,0.016,0.26,651.4
US_AZ,reducedlinearmodelNegBinom,0.0497,0.0151,0.2797,702.4
US_DC,reducedlinearmodelNegBinom,0.0496,0.0152,0.2702,674.54
US_DE,reducedlinearmodelNegBinom,0.0504,0.0152,0.2758,611.75
US_GU,reducedlinearmodelq0ctime,0.0944,0.021,0.4083,320.9
US_HI,reducedlinearmodelq0,0.0574,0.016,0.3428,479.39
US_IA,reducedlinearmodelq0,0.0496,0.0148,0.3019,680.52
US_KY,reducedlinearmodelNegBinom,0.0485,0.0142,0.2953,645.72
US_MD,reducedlinearmodelq0,0.0499,0.0146,0.3061,840.32
US_ME,fulllinearmodel,0.0797,0.0231,0.398,546.71
US_MI,reducedlinearmodelq0,0.0532,0.0163,0.2728,1182.76
US_MN,reducedlinearmodelNegBinom,0.0565,0.0177,0.2541,776.14
US_MT,reducedlinearmodelNegBinom,0.0524,0.0146,0.318,427.87
US_ND,reducedlinearmodelq0ctime,0.0994,0.0275,0.4175,428.63
US_NH,reducedlinearmodelq0,0.0499,0.0149,0.2856,572.08
US_NJ,reducedlinearmodelq0,0.0503,0.0157,0.2497,1150.61
US_NM,reducedlinearmodelq0,0.0511,0.0151,0.3023,579.31
US_NY,nonlinearmodelq0ctime,0.0558,0.0177,0.2449,1563.98
US_OK,reducedlinearmodelq0,0.0551,0.0157,0.3448,668.83
US_RI,fulllinearmodel,0.0841,0.0205,0.9209,645.83
US_SD,fulllinearmodel,0.0476,0.0133,0.3454,542.27
US_TN,reducedlinearmodelq0,0.0507,0.0153,0.2694,862.29
US_TX,reducedlinearmodelNegBinom,0.0485,0.0144,0.2713,940.2
US_UT,fulllinearmodel,0.0823,0.0208,0.6219,603.59
US_VA,fulllinearmodel,0.0676,0.0179,0.5462,754.02
US_VI,fulllinearmodel,0.1118,0.0178,1.0542,205.07
US_VT,fulllinearmodel,0.0831,0.0208,0.5289,460.52
US_WV,reducedlinearmodelq0ctime,0.0688,0.0178,0.3481,430.01
US_WY,reducedlinearmodelNegBinom,0.0551,0.0152,0.327,392.79
Afghanistan,fulllinearmodel,0.0743,0.0167,1.1481,482.74
Albania,fulllinearmodel,0.156,0.0437,0.6824,547.17
Algeria,fulllinearmodel,0.1018,0.0198,1.0249,908.4
Andorra,reducedlinearmodelq0,0.068,0.0177,0.3854,511.18
Antigua and Barbuda,reducedlinearmodelq0,0.1127,0.0194,1.0088,108.72
Argentina,reducedlinearmodelq0,0.0509,0.0152,0.2747,809.14
Armenia,reducedlinearmodelq0,0.1212,0.0314,0.4695,622.58
Austria,reducedlinearmodelq0,0.0556,0.014,0.4282,1279.79
Azerbaijan,reducedlinearmodelq0,0.05,0.0139,0.3733,648.5
Bahamas,reducedlinearmodelNegBinom,0.0918,0.0181,0.7486,189.89
Bahrain,reducedlinearmodelq0ctime,0.0631,0.0178,0.3444,873.29
Bangladesh,nonlinearmodelq0ctime,0.0543,0.0148,0.445,486.79
Barbados,reducedlinearmodelNegBinom,0.112,0.0217,0.6211,234.71
Belarus,reducedlinearmodelNegBinom,0.049,0.0137,0.3518,609.55
Belgium,nonlinearmodelq0ctime,0.0948,0.0299,0.3583,1394.64
Benin,reducedlinearmodelNegBinom,0.0951,0.0179,0.8331,130.58
Bolivia,fulllinearmodel,0.1047,0.0225,1.1064,412.32
Bosnia and Herzegovina,reducedlinearmodelq0,0.051,0.0149,0.2894,642.84
Brazil,fulllinearmodel,0.1271,0.0278,0.9413,1107.31
Brunei,reducedlinearmodelq0ctime,0.1652,0.0297,0.5673,365.92
Bulgaria,reducedlinearmodelNegBinom,0.0722,0.0205,0.3638,581.21
Burkina Faso,reducedlinearmodelq0,0.0803,0.0216,0.3885,529.67
Burma,nonlinearmodelq0ctime,0.0507,0.0116,0.4311,162.02
Cabo Verde,reducedlinearmodelNegBinom,0.0801,0.0165,0.7107,107.68
Cameroon,reducedlinearmodelq0,0.0892,0.0196,0.429,425.33
Chile,reducedlinearmodelNegBinom,0.0492,0.0151,0.2697,982.69
China,fulllinearmodel,0.0772,0.0274,0.1876,3090.62
Colombia,nonlinearmodelq0ctime,0.1679,0.0448,0.5966,717.07
Congo (Brazzaville),nonlinearmodelq0ctime,0.0692,0.012,1.1529,146.92
Congo (Kinshasa),reducedlinearmodelq0ctime,0.0919,0.0241,0.4306,330.62
Costa Rica,reducedlinearmodelq0,0.0749,0.0193,0.3705,509.19
Croatia,fulllinearmodel,0.0435,0.0094,0.2952,753.84
Cuba,reducedlinearmodelNegBinom,0.0573,0.0155,0.4081,484.75
Cyprus,reducedlinearmodelq0,0.106,0.0249,0.4459,519.34
Czechia,nonlinearmodelq0ctime,0.0544,0.0158,0.2856,948.07
Denmark,reducedlinearmodelq0,0.0595,0.0178,0.2859,1099.74
Diamond Princess,reducedlinearmodelq0,0.0722,0.0156,0.5927,471.34
Djibouti,reducedlinearmodelq0,0.0681,0.0164,0.4034,283.74
Dominican Republic,reducedlinearmodelq0ctime,0.0429,0.007,0.2525,718.65
Ecuador,reducedlinearmodelq0ctime,0.0364,0.0072,0.2492,920.13
Egypt,fulllinearmodel,0.1203,0.032,0.9593,860.21
El Salvador,reducedlinearmodelq0,0.0878,0.0216,0.4086,266.17
Estonia,reducedlinearmodelq0,0.0657,0.018,0.3305,661.66
Ethiopia,nonlinearmodelq0ctime,0.0558,0.0125,0.5109,237.25
Finland,reducedlinearmodelNegBinom,0.0619,0.0168,0.3726,759.96
France,reducedlinearmodelq0ctime,0.6926,0.0135,9.4347,2029.96
Gabon,nonlinearmodelq0ctime,0.0602,0.0123,0.8921,173.62
Gambia,reducedlinearmodelq0,,,,16.53
Georgia,reducedlinearmodelNegBinom,0.0818,0.0207,0.5054,474.94
Germany,reducedlinearmodelq0ctime,0.2136,0.0101,9.3468,2046.63
Ghana,fulllinearmodel,0.1273,0.0249,1.0393,363.65
Greece,reducedlinearmodelq0,0.0541,0.016,0.2859,841.61
Guatemala,nonlinearmodelq0ctime,0.0633,0.0143,0.4454,289.34
Guinea,reducedlinearmodelNegBinom,0.0717,0.0168,0.4517,270.21
Guyana,reducedlinearmodelNegBinom,0.0933,0.0176,0.84,169.55
Haiti,reducedlinearmodelNegBinom,0.0982,0.0181,0.8037,160.7
Honduras,reducedlinearmodelNegBinom,0.0649,0.0164,0.3994,401.78
Hungary,reducedlinearmodelNegBinom,0.0666,0.0179,0.3659,685.34
Iceland,reducedlinearmodelq0ctime,0.1131,0.0263,0.4534,826.89
India,fulllinearmodel,0.1757,0.0425,0.9379,980.94
Indonesia,fulllinearmodel,0.0407,0.0064,0.2876,944.32
Iran,reducedlinearmodelNegBinom,0.0648,0.0206,0.2885,2234.27
Iraq,fulllinearmodel,0.0987,0.0231,1.2301,872.37
Ireland,reducedlinearmodelq0,0.0705,0.0185,0.3456,904.6
Israel,reducedlinearmodelq0,0.0503,0.0145,0.3109,1061.67
Italy,reducedlinearmodelq0ctime,0.0539,0.0083,5.9344,2483.54
Jamaica,nonlinearmodelq0ctime,0.0536,0.0138,0.4364,270.61
Japan,reducedlinearmodelNegBinom,0.0508,0.0151,0.2993,1409.02
Jordan,reducedlinearmodelq0,0.1068,0.0265,0.4311,476.76
Kazakhstan,nonlinearmodelq0ctime,0.1112,0.0298,0.4805,573.44
Kenya,reducedlinearmodelq0,0.0683,0.017,0.3691,359.24
"Korea, South",reducedlinearmodelq0ctime,0.0407,0.0096,1.1749,1764.69
Kosovo,nonlinearmodelq0ctime,0.0563,0.0146,0.4692,288.8
Kuwait,fulllinearmodel,0.075,0.0194,1.4713,740.2
Kyrgyzstan,reducedlinearmodelq0ctime,0.1094,0.0267,0.4599,370.32
Latvia,reducedlinearmodelq0,0.079,0.0193,0.3914,472.0
Lebanon,fulllinearmodel,0.0968,0.0184,0.8849,620.74
Liberia,reducedlinearmodelNegBinom,0.1075,0.0198,0.5823,133.39
Libya,reducedlinearmodelNegBinom,0.0877,0.017,0.6707,150.37
Liechtenstein,reducedlinearmodelq0,0.1337,0.0206,0.8581,170.11
Lithuania,reducedlinearmodelq0,0.0687,0.0183,0.3502,576.17
Luxembourg,reducedlinearmodelq0,0.078,0.0213,0.333,727.12
Malaysia,reducedlinearmodelq0ctime,0.0311,0.012,0.1666,1270.14
Mali,fulllinearmodel,0.1723,0.0414,0.9568,252.01
Malta,reducedlinearmodelq0,0.0795,0.0201,0.3962,427.07
Mauritius,reducedlinearmodelq0,0.1067,0.0242,0.4692,360.36
Mexico,fulllinearmodel,0.0452,0.0115,0.3361,864.65
Moldova,reducedlinearmodelq0,0.0899,0.0232,0.3803,623.05
Monaco,reducedlinearmodelNegBinom,0.0934,0.0211,0.5628,241.94
Montenegro,reducedlinearmodelq0,0.1121,0.0261,0.4628,349.62
Morocco,fulllinearmodel,0.0892,0.0214,0.448,635.2
Netherlands,fulllinearmodel,0.0775,0.0179,0.5015,1269.55
New Zealand,reducedlinearmodelq0ctime,0.034,0.0063,0.2817,653.49
Niger,reducedlinearmodelq0,0.0856,0.0195,0.4406,337.1
Nigeria,reducedlinearmodelq0,0.0941,0.0251,0.4096,427.28
North Macedonia,reducedlinearmodelNegBinom,0.0646,0.0173,0.3933,570.53
Norway,reducedlinearmodelq0,0.0598,0.0176,0.2966,961.57
Oman,reducedlinearmodelNegBinom,0.051,0.0141,0.3337,603.71
Pakistan,reducedlinearmodelq0ctime,0.0407,0.0082,0.2463,942.62
Panama,reducedlinearmodelq0,0.0821,0.0211,0.3708,682.39
Paraguay,reducedlinearmodelq0,0.0652,0.0174,0.3552,333.78
