roi,model,waic
Gambia,C,16.533958002316147
Gambia,B,16.54142422151525
Gambia,A,16.593032933317048
Gambia,D,16.617271606275008
Gambia,E,16.923291219423945
Cabo Verde,B,107.68457221004792
Cabo Verde,C,107.78722425260773
Cabo Verde,A,107.91306072719671
Cabo Verde,D,107.94478416553216
Cabo Verde,E,108.32452000397059
Antigua and Barbuda,C,108.71574896727287
Antigua and Barbuda,B,108.73097629986201
Antigua and Barbuda,D,108.814507376714
Antigua and Barbuda,A,108.8357065650488
Antigua and Barbuda,E,112.78309716181448
Somalia,E,116.41970736617948
Somalia,B,116.88459241605156
Somalia,C,116.90589727093086
Somalia,D,117.3257062198072
Somalia,A,117.4493678922337
Zimbabwe,B,123.38689251143013
Zimbabwe,C,123.42375497830307
Zimbabwe,A,123.55042842239182
Zimbabwe,D,123.59523973374785
Syria,C,126.14889851379965
Syria,B,126.15315806991525
Syria,D,126.27140203708916
Syria,A,126.28005476291972
Sudan,B,126.75845836513972
Sudan,C,126.86143706922688
Sudan,A,126.98944286828484
Sudan,D,127.03819420462791
Zimbabwe,E,130.56973237097608
Benin,B,130.58385791884436
Benin,C,130.59897599277286
Benin,A,130.73362781130265
Benin,D,130.80786635880617
Syria,E,131.4794190576922
Liberia,B,133.39414504503213
Sudan,E,133.47308482332892
Liberia,C,133.51664979847484
Liberia,A,133.88104562671492
Liberia,D,134.06687376286422
Liberia,E,134.21204467239704
Benin,E,134.22953440023974
Congo (Brazzaville),E,146.91974790551808
Congo (Brazzaville),B,147.2517335248277
Congo (Brazzaville),C,147.47465471869256
Congo (Brazzaville),A,148.2506357956369
Congo (Brazzaville),D,148.5708648647405
Libya,B,150.3658368784482
Libya,C,150.59177356599037
Libya,A,150.96524537681444
Libya,D,151.22726924784118
Libya,E,151.6809054604301
Haiti,B,160.69655640331717
Haiti,C,160.7653628646546
Haiti,A,160.93394008420745
Haiti,D,160.99327933202338
Burma,E,162.02322614027503
Burma,B,162.9950213866623
Burma,C,163.07599112419672
Burma,A,163.15595252959724
Burma,D,163.24862887735046
Haiti,E,169.48097111531237
Guyana,B,169.55023286753124
Guyana,C,169.55488649310254
Guyana,A,169.74087384871746
Guyana,D,169.77266924814302
Liechtenstein,C,170.10708344580465
Liechtenstein,B,170.1907446092953
Liechtenstein,D,170.23415501217153
Liechtenstein,A,170.25115877708708
Liechtenstein,E,172.36503030331153
Gabon,E,173.62457377949752
Guyana,E,173.97667380408421
Gabon,B,174.17669879076897
Gabon,C,174.3561643472009
Gabon,A,175.32740172300225
Gabon,D,175.51591263295657
Bahamas,B,189.88696596812932
Bahamas,C,189.96707794281545
Bahamas,A,190.25181633438592
Bahamas,D,190.28809502920254
Tanzania,E,194.710186033106
Tanzania,B,195.84349971805096
Tanzania,C,195.9332270638525
Tanzania,A,196.53390681969606
Tanzania,D,197.0298104474848
Zambia,C,201.4548328011929
Zambia,B,201.45822233831126
Zambia,D,201.71278893576667
Zambia,A,201.7405124418202
Bahamas,E,202.0130906370615
US_VI,A,205.0705050585043
US_VI,D,205.1247818536093
US_VI,C,205.33536632711025
US_VI,B,205.37880498738468
Zambia,E,209.09323398138957
US_VI,E,209.51474825450043
Barbados,B,234.70540298367428
Barbados,C,234.74316309254726
Barbados,A,235.38277755603897
Barbados,D,235.5567213927269
Ethiopia,E,237.25311510455083
Ethiopia,C,237.51591146648133
Ethiopia,B,237.53304927389445
Ethiopia,A,238.06050719560284
Ethiopia,D,238.1700010015873
Barbados,E,240.0329280384959
Monaco,B,241.93552656246675
Monaco,C,241.98140282299667
Monaco,A,242.3193719490681
Monaco,D,242.50318485465928
Monaco,E,244.27516809164428
Mali,A,252.0110657396121
Mali,D,252.03758452251571
Mali,E,252.2051772816016
Mali,B,252.27943985843132
Mali,C,252.3402375038601
Togo,B,263.8982014943548
Togo,A,264.00874954953343
Togo,C,264.1642230066766
Togo,D,264.2772059676257
Togo,E,265.20379946325954
El Salvador,C,266.1687671454956
El Salvador,B,266.20081381131104
El Salvador,D,266.3914956260666
El Salvador,A,266.4568271575426
El Salvador,E,266.72133478672754
Guinea,B,270.20711776274067
Guinea,E,270.3127545473833
Guinea,C,270.318243885057
Guinea,D,270.38008868682675
Guinea,A,270.3935288111412
Jamaica,E,270.60762816489546
Jamaica,B,271.0641533539249
Jamaica,C,271.1780377476408
Jamaica,D,271.3865600938436
Jamaica,A,271.4856885093932
Djibouti,C,283.73602629466694
Djibouti,A,283.7402620848395
Djibouti,B,283.76172369909364
Djibouti,D,283.77269262375853
Djibouti,E,283.91674653454083
Trinidad and Tobago,C,288.34215810133634
Trinidad and Tobago,B,288.4556550225987
Kosovo,E,288.7979793074173
Trinidad and Tobago,D,288.9256975850117
Kosovo,C,289.03688474156377
Trinidad and Tobago,E,289.0483909154765
Kosovo,B,289.1474356620671
Trinidad and Tobago,A,289.2241330836595
Guatemala,E,289.34402595859507
Guatemala,A,289.38323317602845
