Region	R0 (CI)	ci1	CAR (week 0) (CI)	ci2	IFR (week 0) (CI)	ci3	Rt(April 15th, 2020) (CI)	ci4	CARt(April 15th, 2020) (CI)	ci5	IFRt(April 15th, 2020) (CI)	ci6	delta weeks
US_AK	4.8	(1.9, 12.0)	0.08	(0.02, 0.4)	0.004	(0.0009, 0.02)	1.4	(0.9, 3.0)	0.2	(0.03, 0.6)	0.02	(0.004, 0.1)	3
US_AR	4.5	(2.0, 9.7)	0.06	(0.02, 0.3)	0.002	(0.0004, 0.008)	1.3	(0.8, 2.0)	0.1	(0.03, 0.5)	0.009	(0.002, 0.04)	4
US_AZ	4.0	(1.8, 8.6)	0.05	(0.02, 0.3)	0.004	(0.0009, 0.02)	1.9	(1.0, 4.0)	0.09	(0.02, 0.4)	0.01	(0.002, 0.07)	4
US_DC	3.9	(1.9, 8.0)	0.05	(0.02, 0.3)	0.002	(0.0005, 0.009)	1.4	(0.9, 3.0)	0.1	(0.02, 0.5)	0.007	(0.001, 0.03)	4
US_DE	3.8	(1.7, 8.7)	0.05	(0.02, 0.3)	0.003	(0.0008, 0.02)	1.7	(1.0, 4.0)	0.09	(0.02, 0.4)	0.01	(0.002, 0.06)	4
US_GU	3.5	(1.6, 7.7)	0.08	(0.02, 0.5)	0.005	(0.001, 0.03)	0.43	(0.1, 1.0)	0.2	(0.03, 0.8)	0.03	(0.004, 0.1)	3
US_HI	3.8	(1.7, 9.2)	0.06	(0.02, 0.4)	0.003	(0.0007, 0.02)	1.4	(0.9, 3.0)	0.1	(0.02, 0.6)	0.01	(0.002, 0.05)	3
US_IA	3.6	(1.6, 7.6)	0.05	(0.01, 0.3)	0.002	(0.0006, 0.01)	1.8	(1.0, 4.0)	0.08	(0.02, 0.4)	0.006	(0.001, 0.03)	4
US_KY	3.4	(1.5, 7.3)	0.05	(0.01, 0.4)	0.004	(0.001, 0.03)	2.3	(1.0, 5.0)	0.06	(0.01, 0.4)	0.008	(0.001, 0.06)	4
US_MD	3.7	(1.7, 7.8)	0.05	(0.01, 0.3)	0.002	(0.0006, 0.02)	2.2	(1.0, 5.0)	0.07	(0.01, 0.3)	0.006	(0.001, 0.03)	4
US_ME	6.3	(2.6, 14.0)	0.07	(0.02, 0.3)	0.002	(0.0006, 0.01)	1.2	(0.9, 2.0)	0.2	(0.04, 0.6)	0.01	(0.003, 0.05)	3
US_MI	4.7	(2.1, 10.0)	0.06	(0.02, 0.3)	0.005	(0.001, 0.03)	0.88	(0.2, 2.0)	0.2	(0.03, 0.6)	0.05	(0.008, 0.2)	5
US_MN	5.7	(2.4, 13.0)	0.06	(0.02, 0.3)	0.002	(0.0006, 0.01)	1.1	(0.5, 2.0)	0.2	(0.04, 0.6)	0.02	(0.003, 0.06)	4
US_MT	3.3	(1.5, 7.9)	0.06	(0.02, 0.4)	0.004	(0.0009, 0.03)	1.5	(0.8, 3.0)	0.09	(0.02, 0.5)	0.01	(0.002, 0.07)	3
US_ND	6.3	(2.4, 15.0)	0.09	(0.03, 0.4)	0.003	(0.0008, 0.02)	1.3	(1.0, 2.0)	0.2	(0.05, 0.7)	0.02	(0.004, 0.06)	3
US_NH	3.6	(1.7, 7.9)	0.05	(0.02, 0.3)	0.003	(0.0008, 0.02)	1.7	(0.9, 4.0)	0.08	(0.02, 0.4)	0.01	(0.002, 0.05)	4
US_NJ	5.2	(2.3, 11.0)	0.05	(0.02, 0.3)	0.003	(0.0008, 0.02)	1.6	(0.9, 3.0)	0.1	(0.03, 0.5)	0.02	(0.003, 0.09)	4
US_NM	3.6	(1.6, 8.2)	0.05	(0.02, 0.3)	0.003	(0.0007, 0.02)	1.9	(1.0, 4.0)	0.09	(0.02, 0.4)	0.009	(0.001, 0.05)	4
US_NY	4.7	(2.2, 9.6)	0.05	(0.02, 0.3)	0.002	(0.0006, 0.01)	0.41	(0.1, 1.0)	0.2	(0.04, 0.7)	0.02	(0.005, 0.09)	5
US_OK	4.1	(1.7, 9.5)	0.05	(0.02, 0.3)	0.003	(0.0008, 0.02)	1.4	(0.9, 3.0)	0.1	(0.02, 0.5)	0.01	(0.002, 0.07)	3
US_RI	4.4	(1.8, 12.0)	0.07	(0.02, 0.5)	0.004	(0.001, 0.03)	2.4	(1.0, 5.0)	0.1	(0.02, 0.6)	0.02	(0.002, 0.08)	4
US_SD	2.7	(1.4, 5.5)	0.05	(0.01, 0.4)	0.002	(0.0006, 0.02)	2.5	(1.0, 5.0)	0.04	(0.009, 0.3)	0.002	(0.0004, 0.02)	4
US_TN	4.6	(2.1, 10.0)	0.05	(0.02, 0.3)	0.002	(0.0005, 0.01)	1.2	(0.6, 3.0)	0.1	(0.03, 0.5)	0.01	(0.002, 0.05)	4
US_TX	3.7	(1.7, 7.9)	0.05	(0.01, 0.3)	0.003	(0.0007, 0.02)	2.4	(1.0, 5.0)	0.06	(0.01, 0.4)	0.006	(0.001, 0.03)	4
US_UT	5.5	(2.2, 13.0)	0.07	(0.02, 0.4)	0.004	(0.001, 0.03)	1.4	(0.6, 3.0)	0.2	(0.04, 0.7)	0.03	(0.005, 0.1)	4
US_VA	4.4	(1.8, 10.0)	0.06	(0.02, 0.4)	0.004	(0.0009, 0.03)	2.3	(1.0, 5.0)	0.1	(0.02, 0.5)	0.01	(0.002, 0.07)	4
US_VI	2.5	(1.2, 6.2)	0.1	(0.02, 1.0)	0.02	(0.002, 0.2)	0.68	(0.2, 2.0)	0.2	(0.01, 1.0)	0.05	(-0.001, 0.5)	2
US_VT	5.0	(2.1, 12.0)	0.07	(0.02, 0.4)	0.006	(0.001, 0.04)	1.2	(0.7, 2.0)	0.2	(0.04, 0.6)	0.04	(0.006, 0.2)	3
US_WV	4.1	(1.7, 10.0)	0.06	(0.02, 0.4)	0.004	(0.0009, 0.03)	2.2	(1.0, 5.0)	0.1	(0.02, 0.5)	0.01	(0.002, 0.08)	3
US_WY	3.4	(1.5, 8.5)	0.06	(0.02, 0.4)	0.004	(0.0009, 0.03)	1.3	(0.7, 3.0)	0.1	(0.02, 0.6)	0.01	(0.002, 0.08)	3
Austria	3.0	(1.6, 6.5)	0.06	(0.01, 0.4)	0.002	(0.0004, 0.01)	2.8	(2.0, 6.0)	0.1	(0.02, 0.7)	0.01	(0.002, 0.06)	6
Belgium	4.7	(2.1, 14.0)	0.1	(0.03, 0.5)	0.003	(0.0009, 0.02)	3.2	(2.0, 6.0)	0.3	(0.07, 0.8)	0.03	(0.007, 0.09)	5
