Region,R0 (CI),CAR (week 0) (CI),IFR (week 0) (CI),R current (CI),CAR current (CI),IFR current (CI),delta weeks
US_AK,"5.4 (2.2, 12.7)","0.06 (0.02, 0.3)","0.0034 (0.0009, 0.0182)","1.3 (0.6, 3.4)","0.21 (0.04, 0.77)","0.028 (0.0045, 0.1154)",3
US_AR,"5.1 (2.3, 10.6)","0.05 (0.02, 0.26)","0.0014 (0.0004, 0.0075)","1.5 (0.6, 3.1)","0.15 (0.03, 0.59)","0.0106 (0.0018, 0.0446)",4
US_AZ,"4.6 (2.1, 9.7)","0.05 (0.02, 0.28)","0.0036 (0.0009, 0.0225)","1.6 (0.4, 4.3)","0.1 (0.02, 0.53)","0.0149 (0.0019, 0.0868)",4
US_DC,"4.2 (2.0, 8.5)","0.05 (0.02, 0.27)","0.0016 (0.0005, 0.0094)","1.1 (0.5, 2.9)","0.11 (0.02, 0.55)","0.0078 (0.0011, 0.0402)",4
US_DE,"4.3 (2.0, 9.2)","0.05 (0.02, 0.28)","0.0031 (0.0008, 0.019)","2.0 (0.8, 4.5)","0.11 (0.02, 0.58)","0.0133 (0.0017, 0.0785)",4
US_GU,"3.7 (1.6, 8.1)","0.09 (0.02, 0.41)","0.0059 (0.0012, 0.027)","0.4 (0.1, 1.7)","0.27 (0.03, 0.83)","0.043 (0.0052, 0.1531)",3
US_HI,"3.7 (1.7, 8.6)","0.06 (0.02, 0.34)","0.0027 (0.0007, 0.0175)","1.1 (0.4, 2.7)","0.15 (0.02, 0.63)","0.0134 (0.0018, 0.0626)",3
US_IA,"3.6 (1.7, 7.6)","0.05 (0.01, 0.3)","0.0023 (0.0006, 0.0153)","1.5 (0.5, 4.0)","0.09 (0.01, 0.49)","0.0074 (0.001, 0.0424)",4
US_KY,"3.7 (1.7, 7.7)","0.05 (0.01, 0.3)","0.0039 (0.0009, 0.0263)","2.1 (0.7, 5.2)","0.07 (0.01, 0.43)","0.0087 (0.0012, 0.0634)",4
US_MD,"3.7 (1.7, 7.8)","0.05 (0.01, 0.31)","0.0024 (0.0006, 0.0157)","1.6 (0.5, 4.7)","0.07 (0.01, 0.43)","0.0063 (0.001, 0.041)",4
