roi,model,linbool,waic
Gambia,reducedlinearmodelq0_fit_table,True,16.532334053391356
Cabo Verde,reducedlinearmodelNegBinom_fit_table,True,107.76759792789605
Antigua and Barbuda,reducedlinearmodelNegBinom_fit_table,True,108.68748810116935
Somalia,nonlinearmodelq0ctime_fit_table,False,116.50036736725441
Zimbabwe,reducedlinearmodelNegBinom_fit_table,True,123.38744859149179
Syria,reducedlinearmodelq0_fit_table,True,126.15432033057765
Sudan,reducedlinearmodelq0_fit_table,True,126.78436744205851
Benin,reducedlinearmodelNegBinom_fit_table,True,130.5454037906989
Liberia,reducedlinearmodelNegBinom_fit_table,True,133.4141473777982
Congo (Brazzaville),nonlinearmodelq0ctime_fit_table,False,146.82544879137666
Libya,reducedlinearmodelNegBinom_fit_table,True,150.41536482818827
Haiti,reducedlinearmodelq0_fit_table,True,160.73770980926562
Burma,nonlinearmodelq0ctime_fit_table,False,162.27379897997338
Guyana,reducedlinearmodelq0_fit_table,True,169.55355048768655
Liechtenstein,reducedlinearmodelq0_fit_table,True,170.10227338566332
Gabon,nonlinearmodelq0ctime_fit_table,False,173.75924145116866
Bahamas,reducedlinearmodelNegBinom_fit_table,True,189.8863874117362
Tanzania,nonlinearmodelq0ctime_fit_table,False,194.70424024492598
Zambia,reducedlinearmodelNegBinom_fit_table,True,201.41901140609562
US_VI,fulllinearmodel_fit_table,True,205.03839474031875
Barbados,reducedlinearmodelq0_fit_table,True,234.71421925918818
Ethiopia,reducedlinearmodelNegBinom_fit_table,True,237.5292966355776
Monaco,reducedlinearmodelNegBinom_fit_table,True,241.91550698753304
Mali,fulllinearmodel_fit_table,True,251.97709139756668
Togo,reducedlinearmodelNegBinom_fit_table,True,264.0820835075184
El Salvador,reducedlinearmodelNegBinom_fit_table,True,266.20126230730574
Guinea,reducedlinearmodelq0_fit_table,True,270.3239595435564
Jamaica,nonlinearmodelq0ctime_fit_table,False,270.551101904988
Djibouti,fulllinearmodel_fit_table,True,283.7391165356065
Trinidad and Tobago,reducedlinearmodelq0_fit_table,True,288.13252518699574
Kosovo,nonlinearmodelq0ctime_fit_table,False,288.7815631978331
Guatemala,fulllinearmodel_fit_table,True,289.356024229841
US_GU,reducedlinearmodelq0ctime_fit_table,True,320.76603354954767
Congo (Kinshasa),reducedlinearmodelq0ctime_fit_table,True,330.57613341442544
Paraguay,reducedlinearmodelq0_fit_table,True,333.6213343989443
Niger,nonlinearmodelq0ctime_fit_table,False,336.9397416563567
Montenegro,reducedlinearmodelNegBinom_fit_table,True,349.66607041623496
Kenya,reducedlinearmodelq0_fit_table,True,359.2242472136169
Mauritius,reducedlinearmodelq0_fit_table,True,360.1863224657681
Ghana,reducedlinearmodelq0ctime_fit_table,True,363.7090161774208
Brunei,reducedlinearmodelq0ctime_fit_table,True,365.87456999893305
Kyrgyzstan,fulllinearmodel_fit_table,True,370.29061688650717
Venezuela,reducedlinearmodelq0ctime_fit_table,True,378.77607780231085
US_AK,reducedlinearmodelNegBinom_fit_table,True,380.54379481572016
US_WY,reducedlinearmodelq0_fit_table,True,392.716659622119
Honduras,reducedlinearmodelq0_fit_table,True,401.57061905405806
Sri Lanka,reducedlinearmodelq0ctime_fit_table,True,405.59379379657616
Bolivia,fulllinearmodel_fit_table,True,412.2894371591663
Cameroon,reducedlinearmodelNegBinom_fit_table,True,425.2680767414895
Malta,reducedlinearmodelNegBinom_fit_table,True,427.04199556297766
Nigeria,reducedlinearmodelq0_fit_table,True,427.35684515778433
US_MT,reducedlinearmodelNegBinom_fit_table,True,427.7915268436726
US_ND,fulllinearmodel_fit_table,True,428.64949979555
West Bank and Gaza,fulllinearmodel_fit_table,True,429.4031546219091
US_WV,fulllinearmodel_fit_table,True,430.0313356115259
Uruguay,reducedlinearmodelNegBinom_fit_table,True,460.405237407141
US_VT,reducedlinearmodelNegBinom_fit_table,True,460.48276565417933
Uzbekistan,fulllinearmodel_fit_table,True,464.6417606601497
Diamond Princess,reducedlinearmodelNegBinom_fit_table,True,471.2824931414572
Latvia,reducedlinearmodelq0_fit_table,True,471.84518562893976
Georgia,reducedlinearmodelq0ctime_fit_table,True,475.0265536599044
Jordan,reducedlinearmodelNegBinom_fit_table,True,476.72614146101
US_HI,reducedlinearmodelq0_fit_table,True,479.4337740030732
