Region,R0 (CI),CAR (week 0) (CI),IFR (week 0) (CI)
US_AK,"5.4 (2.2, 12.7)","0.06 (0.02, 0.3)","0.0034 (0.0009, 0.0182)"
US_AR,"5.1 (2.3, 10.6)","0.05 (0.02, 0.26)","0.0014 (0.0004, 0.0075)"
US_AZ,"4.6 (2.1, 9.7)","0.05 (0.02, 0.28)","0.0036 (0.0009, 0.0225)"
US_DC,"4.2 (2.0, 8.5)","0.05 (0.02, 0.27)","0.0016 (0.0005, 0.0094)"
US_DE,"4.3 (2.0, 9.2)","0.05 (0.02, 0.28)","0.0031 (0.0008, 0.019)"
US_GU,"3.7 (1.6, 8.1)","0.09 (0.02, 0.41)","0.0059 (0.0012, 0.027)"
US_HI,"3.7 (1.7, 8.6)","0.06 (0.02, 0.34)","0.0027 (0.0007, 0.0175)"
US_IA,"3.6 (1.7, 7.6)","0.05 (0.01, 0.3)","0.0023 (0.0006, 0.0153)"
US_KY,"3.7 (1.7, 7.7)","0.05 (0.01, 0.3)","0.0039 (0.0009, 0.0263)"
US_MD,"3.7 (1.7, 7.8)","0.05 (0.01, 0.31)","0.0024 (0.0006, 0.0157)"
US_ME,"6.6 (2.6, 14.9)","0.08 (0.02, 0.4)","0.0022 (0.0006, 0.0116)"
US_MI,"4.5 (2.1, 9.6)","0.05 (0.02, 0.27)","0.0043 (0.001, 0.0321)"
US_MN,"5.9 (2.6, 12.9)","0.06 (0.02, 0.25)","0.0022 (0.0006, 0.0106)"
US_MT,"3.5 (1.6, 7.7)","0.05 (0.01, 0.32)","0.0039 (0.0009, 0.0261)"
US_ND,"6.2 (2.2, 15.4)","0.1 (0.03, 0.42)","0.0035 (0.0009, 0.0155)"
US_NH,"3.6 (1.7, 7.7)","0.05 (0.01, 0.29)","0.0033 (0.0008, 0.0212)"
US_NJ,"5.0 (2.2, 10.7)","0.05 (0.02, 0.25)","0.0033 (0.0008, 0.0194)"
US_NM,"3.6 (1.7, 7.8)","0.05 (0.02, 0.3)","0.003 (0.0007, 0.0188)"
US_NY,"4.8 (2.3, 9.8)","0.06 (0.02, 0.24)","0.0022 (0.0006, 0.0104)"
US_OK,"4.1 (1.8, 9.2)","0.06 (0.02, 0.34)","0.0032 (0.0008, 0.0216)"
US_RI,"4.4 (1.7, 12.8)","0.08 (0.02, 0.92)","0.005 (0.0011, 0.0501)"
US_SD,"2.6 (1.3, 5.5)","0.05 (0.01, 0.35)","0.0022 (0.0005, 0.0169)"
US_TN,"4.6 (2.1, 9.8)","0.05 (0.02, 0.27)","0.0018 (0.0005, 0.0105)"
US_TX,"4.2 (1.9, 8.9)","0.05 (0.01, 0.27)","0.0027 (0.0007, 0.0162)"
US_UT,"5.7 (2.1, 14.0)","0.08 (0.02, 0.62)","0.005 (0.001, 0.0393)"
US_VA,"4.4 (1.8, 10.8)","0.07 (0.02, 0.55)","0.0043 (0.001, 0.035)"
US_VI,"2.8 (1.2, 6.8)","0.11 (0.02, 1.05)","0.0182 (0.0023, 0.2158)"
US_VT,"5.6 (2.2, 14.4)","0.08 (0.02, 0.53)","0.0065 (0.0013, 0.0503)"
US_WV,"4.0 (1.6, 11.4)","0.07 (0.02, 0.35)","0.0043 (0.001, 0.024)"
US_WY,"3.5 (1.5, 8.1)","0.06 (0.02, 0.33)","0.0037 (0.0009, 0.0232)"
Afghanistan,"3.7 (1.4, 16.2)","0.07 (0.02, 1.15)","0.0063 (0.0013, 0.0824)"
Albania,"5.0 (1.8, 19.5)","0.16 (0.04, 0.68)","0.005 (0.0013, 0.0223)"
Algeria,"3.8 (1.6, 14.7)","0.1 (0.02, 1.02)","0.0077 (0.0015, 0.0707)"
Andorra,"3.5 (1.6, 8.5)","0.07 (0.02, 0.39)","0.0042 (0.001, 0.0251)"
Antigua and Barbuda,"3.3 (1.2, 11.9)","0.11 (0.02, 1.01)","0.0245 (0.0032, 0.2771)"
Argentina,"3.8 (1.8, 8.1)","0.05 (0.02, 0.27)","0.0024 (0.0006, 0.0141)"
Armenia,"8.0 (3.0, 20.0)","0.12 (0.03, 0.47)","0.0034 (0.0008, 0.0143)"
Austria,"2.8 (1.6, 6.3)","0.06 (0.01, 0.43)","0.0015 (0.0004, 0.012)"
Azerbaijan,"2.6 (1.3, 5.6)","0.05 (0.01, 0.37)","0.0033 (0.0008, 0.0267)"
Bahamas,"3.9 (1.2, 14.6)","0.09 (0.02, 0.75)","0.0184 (0.0029, 0.1929)"
Bahrain,"2.9 (1.2, 10.9)","0.06 (0.02, 0.34)","0.0028 (0.0007, 0.016)"
Bangladesh,"2.6 (1.4, 5.4)","0.05 (0.01, 0.44)","0.0053 (0.0013, 0.0462)"
Barbados,"6.3 (1.6, 20.6)","0.11 (0.02, 0.62)","0.0164 (0.0026, 0.1206)"
Belarus,"2.7 (1.4, 5.9)","0.05 (0.01, 0.35)","0.0043 (0.001, 0.0337)"
Belgium,"4.1 (2.0, 8.2)","0.09 (0.03, 0.36)","0.003 (0.0009, 0.0115)"
Benin,"3.5 (1.2, 14.0)","0.1 (0.02, 0.83)","0.0202 (0.0028, 0.2282)"
