Region,R0 (CI),CAR (week 0) (CI),IFR (week 0) (CI),"Rt(April 15th, 2020) (CI)","CARt(April 15th, 2020) (CI)","IFRt(April 15th, 2020) (CI)",delta weeks
US_AK,"4.8 (1.9, 12.1)","0.08 (0.02, 0.39)","0.0042 (0.0009, 0.0234)","1.4 (0.91, 2.67)","0.18 (0.03, 0.63)","0.0235 (0.0039, 0.0956)",3
US_AR,"4.5 (2.0, 9.7)","0.06 (0.02, 0.28)","0.0016 (0.0004, 0.0081)","1.33 (0.76, 2.34)","0.13 (0.03, 0.5)","0.0095 (0.002, 0.0383)",4
US_AZ,"4.0 (1.8, 8.6)","0.05 (0.02, 0.28)","0.0037 (0.0009, 0.0234)","1.86 (1.02, 4.01)","0.09 (0.02, 0.42)","0.0124 (0.0022, 0.068)",4
US_DC,"3.9 (1.9, 8.0)","0.05 (0.02, 0.27)","0.0017 (0.0005, 0.0094)","1.4 (0.89, 2.62)","0.1 (0.02, 0.45)","0.0067 (0.0013, 0.033)",4
US_DE,"3.8 (1.7, 8.7)","0.05 (0.02, 0.31)","0.0034 (0.0008, 0.0211)","1.74 (0.97, 3.7)","0.09 (0.02, 0.44)","0.0113 (0.0019, 0.061)",4
US_GU,"3.5 (1.6, 7.7)","0.08 (0.02, 0.47)","0.0053 (0.001, 0.0318)","0.43 (0.13, 0.98)","0.22 (0.03, 0.77)","0.0341 (0.0043, 0.1389)",3
US_HI,"3.8 (1.7, 9.2)","0.06 (0.02, 0.35)","0.003 (0.0007, 0.018)","1.39 (0.87, 2.7)","0.13 (0.02, 0.56)","0.0113 (0.0018, 0.0549)",3
US_IA,"3.6 (1.6, 7.6)","0.05 (0.01, 0.29)","0.0024 (0.0006, 0.0148)","1.77 (0.98, 3.78)","0.08 (0.02, 0.39)","0.0063 (0.0011, 0.0342)",4
US_KY,"3.4 (1.5, 7.3)","0.05 (0.01, 0.35)","0.0041 (0.001, 0.0308)","2.25 (1.1, 5.2)","0.06 (0.01, 0.39)","0.0082 (0.0014, 0.0553)",4
US_MD,"3.7 (1.7, 7.8)","0.05 (0.01, 0.29)","0.0024 (0.0006, 0.0153)","2.22 (1.23, 4.72)","0.07 (0.01, 0.35)","0.0056 (0.0011, 0.0318)",4
US_ME,"6.3 (2.6, 14.0)","0.07 (0.02, 0.34)","0.0021 (0.0006, 0.01)","1.22 (0.9, 1.89)","0.2 (0.04, 0.62)","0.0145 (0.0032, 0.0489)",3
US_MI,"4.7 (2.1, 10.2)","0.06 (0.02, 0.28)","0.0046 (0.001, 0.0324)","0.88 (0.15, 1.85)","0.17 (0.03, 0.61)","0.0484 (0.0078, 0.2245)",5
US_MN,"5.7 (2.4, 12.7)","0.06 (0.02, 0.29)","0.0024 (0.0006, 0.0117)","1.08 (0.5, 1.9)","0.19 (0.04, 0.61)","0.0153 (0.0032, 0.0555)",4
US_MT,"3.3 (1.5, 7.9)","0.06 (0.02, 0.37)","0.0041 (0.0009, 0.0296)","1.51 (0.82, 3.46)","0.09 (0.02, 0.5)","0.0118 (0.0017, 0.0727)",3
US_ND,"6.3 (2.4, 15.0)","0.09 (0.03, 0.42)","0.0033 (0.0008, 0.0156)","1.33 (1.03, 2.12)","0.23 (0.05, 0.68)","0.019 (0.0041, 0.0619)",3
US_NH,"3.6 (1.7, 7.9)","0.05 (0.02, 0.29)","0.0034 (0.0008, 0.0213)","1.71 (0.94, 3.73)","0.08 (0.02, 0.41)","0.0097 (0.0016, 0.0548)",4
US_NJ,"5.2 (2.3, 11.0)","0.05 (0.02, 0.26)","0.0034 (0.0008, 0.0203)","1.59 (0.9, 3.4)","0.12 (0.03, 0.5)","0.0184 (0.0034, 0.0904)",4
US_NM,"3.6 (1.6, 8.2)","0.05 (0.02, 0.31)","0.003 (0.0007, 0.0197)","1.87 (0.99, 4.05)","0.09 (0.02, 0.43)","0.0091 (0.0015, 0.0518)",4
US_NY,"4.7 (2.2, 9.6)","0.05 (0.02, 0.26)","0.0021 (0.0006, 0.0109)","0.41 (0.15, 1.05)","0.19 (0.04, 0.66)","0.0239 (0.0047, 0.0933)",5
US_OK,"4.1 (1.7, 9.5)","0.05 (0.02, 0.31)","0.0032 (0.0008, 0.0195)","1.37 (0.86, 2.82)","0.11 (0.02, 0.53)","0.0127 (0.0022, 0.0674)",3
US_RI,"4.4 (1.8, 11.7)","0.07 (0.02, 0.53)","0.0042 (0.001, 0.0308)","2.41 (1.4, 4.82)","0.12 (0.02, 0.59)","0.0151 (0.0023, 0.0794)",4
US_SD,"2.7 (1.4, 5.5)","0.05 (0.01, 0.36)","0.0022 (0.0006, 0.0172)","2.51 (1.32, 5.22)","0.04 (0.01, 0.27)","0.0022 (0.0004, 0.0158)",4
US_TN,"4.6 (2.1, 10.0)","0.05 (0.02, 0.26)","0.0019 (0.0005, 0.0103)","1.22 (0.65, 2.59)","0.13 (0.03, 0.51)","0.0108 (0.0021, 0.0482)",4
US_TX,"3.7 (1.7, 7.9)","0.05 (0.01, 0.3)","0.0028 (0.0007, 0.0179)","2.43 (1.26, 5.44)","0.06 (0.01, 0.35)","0.0058 (0.0011, 0.035)",4
US_UT,"5.5 (2.2, 12.9)","0.07 (0.02, 0.42)","0.0044 (0.001, 0.0291)","1.4 (0.59, 2.92)","0.19 (0.04, 0.67)","0.0326 (0.0054, 0.1436)",4
US_VA,"4.4 (1.8, 10.2)","0.06 (0.02, 0.39)","0.0039 (0.0009, 0.0258)","2.29 (1.26, 4.73)","0.11 (0.02, 0.52)","0.014 (0.0022, 0.074)",4
US_VI,"2.5 (1.2, 6.2)","0.1 (0.02, 1.02)","0.0168 (0.0016, 0.2274)","0.68 (0.2, 2.34)","0.16 (0.01, 1.1)","0.0475 (-0.0013, 0.5194)",2
US_VT,"5.0 (2.1, 12.2)","0.07 (0.02, 0.38)","0.0059 (0.0012, 0.0408)","1.17 (0.74, 2.15)","0.19 (0.04, 0.64)","0.0401 (0.0062, 0.1887)",3
US_WV,"4.1 (1.7, 10.4)","0.06 (0.02, 0.37)","0.0041 (0.0009, 0.0259)","2.18 (1.24, 4.67)","0.11 (0.02, 0.51)","0.0137 (0.0021, 0.0756)",3
US_WY,"3.4 (1.5, 8.5)","0.06 (0.02, 0.39)","0.0041 (0.0009, 0.0275)","1.26 (0.7, 2.61)","0.12 (0.02, 0.57)","0.0142 (0.002, 0.0785)",3
Afghanistan,"3.4 (1.5, 11.2)","0.07 (0.02, 0.58)","0.0056 (0.0012, 0.0494)","2.4 (1.2, 6.7)","0.08 (0.01, 0.55)","0.0134 (0.0018, 0.1039)",4
Albania,"4.0 (1.6, 13.4)","0.14 (0.04, 0.59)","0.0045 (0.0011, 0.0194)","1.52 (0.8, 6.77)","0.35 (0.08, 0.81)","0.0322 (0.0072, 0.0827)",4
Algeria,"3.6 (1.6, 12.3)","0.08 (0.02, 0.58)","0.0063 (0.0014, 0.042)","2.21 (1.2, 5.5)","0.17 (0.02, 0.67)","0.0271 (0.0039, 0.1134)",5
Andorra,"3.4 (1.4, 10.0)","0.07 (0.02, 0.42)","0.0043 (0.001, 0.028)","2.52 (1.09, 8.3)","0.11 (0.02, 0.55)","0.0176 (0.0029, 0.0946)",3
Antigua and Barbuda,"3.7 (1.2, 13.2)","0.19 (0.02, 1.46)","0.037 (-0.0191, 0.3924)","2.76 (0.76, 11.51)","0.29 (-0.05, 1.66)","0.1144 (-0.055, 0.8117)",2
